diseaseUri	CIS	CISLabel
Q520127	CIS64470824	AMOXICILLINE MYLAN PHARMA 1 g, comprimé dispersible
Q520127	CIS62457618	AMOXICILLINE EG 1 g, comprimé dispersible
Q520127	CIS60151544	AMOXICILLINE ALMUS 1 g, comprimé dispersible
Q520127	CIS67140810	CLAMOXYL 250 mg/ 5 ml, poudre pour suspension buvable
Q520127	CIS67707794	CLAMOXYL 500 mg, gélule
Q520127	CIS69325964	AUGMENTIN 500 mg/50 mg, poudre pour solution injectable/pour perfusion (IV)
Q520127	CIS66853013	AUGMENTIN 100 mg/12,50 mg par ml ENFANTS, poudre pour suspension buvable en flacon (Rapport amoxicilline/acide clavulanique : 8/1)
Q520127	CIS66918105	AMOXICILLINE PANPHARMA 1 g, poudre pour solution injectable
Q520127	CIS66836715	AMOXICILLINE MYLAN 500 mg, gélule
Q520127	CIS67489979	AMOXICILLINE EG 500 mg, gélule
Q520127	CIS69915160	AMOXICILLINE PANPHARMA 1 g/5 ml, poudre et solution pour solution injectable (IM)
Q520127	CIS69416855	AMOXICILLINE PANPHARMA 2 g, poudre pour solution injectable
Q520127	CIS69978246	AUGMENTIN 100 mg/12,50 mg par ml NOURRISSONS, poudre pour suspension buvable (Rapport amoxicilline/acide clavulanique : 8/1)
Q520127	CIS67222296	AMOXICILLINE ACIDE CLAVULANIQUE SANDOZ 100 mg/12,5 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
Q520127	CIS66773446	AMOXICILLINE ARROW 250 mg/5 ml, poudre pour suspension buvable
Q520127	CIS67385172	AMOXICILLINE BIOGARAN 1 g, comprimé dispersible
Q520127	CIS67071339	AMOXICILLINE ALMUS 1 g, comprimé pelliculé dispersible
Q520127	CIS68144249	AMOXICILLINE ACIDE CLAVULANIQUE MYLAN 100 mg/12,5 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
Q520127	CIS68399919	AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN 1 g/200 mg ADULTES, poudre pour solution injectable / pour perfusion (IV)
Q520127	CIS67744718	AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN 2 g/200 mg ADULTES, poudre pour solution pour perfusion
Q520127	CIS69857586	AMOXICILLINE SANDOZ 500 mg/5 ml, poudre pour suspension buvable
Q520127	CIS66929913	AMOXICILLINE/ACIDE CLAVULANIQUE ZENTIVA K.S 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)
Q520127	CIS66916798	AMOXICILLINE ARROW LAB 500 mg, gélule
Q520127	CIS69489433	AMOXICILLINE CRISTERS 1 g, comprimé dispersible
Q520127	CIS69166540	AMOXICILLINE ARROW LAB 1 g, comprimé dispersible
Q2622199	CIS61155773	CLAMOXYL 125 mg/5 ml, poudre pour suspension buvable
Q2622199	CIS60271045	CLAMOXYL 2 g, poudre pour solution injectable (I.V.)
Q2622199	CIS61801023	CLAMOXYL 1 g, poudre pour solution injectable (I.M.-I.V.)
Q2622199	CIS61645058	CLAMOXYL 500 mg, poudre pour solution injectable (I.M., I.V.)
Q2622199	CIS63084015	AUGMENTIN 2 g/200 mg ADULTES, poudre pour solution pour perfusion
Q2622199	CIS62607530	CLAMOXYL 500 mg/5 ml, poudre pour suspension buvable
Q2622199	CIS64582182	AUGMENTIN 1 g/200 mg, poudre pour solution injectable/pour perfusion (IV)
Q2622199	CIS64539416	CLAMOXYL 1 g, comprimé dispersible
Q2622199	CIS60453197	AMOXICILLINE BIOGARAN 500 mg/5 ml, poudre pour suspension buvable
Q2622199	CIS61633586	AMOXICILLINE ZYDUS 500 mg/5 ml, poudre pour suspension buvable
Q2622199	CIS63565244	AUGMENTIN 500 mg/62,5 mg, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)
Q2622199	CIS62846562	AMOXICILLINE EG LABO 1 g, comprimé dispersible
Q2622199	CIS66053338	AUGMENTIN 1 g/125 mg, poudre pour suspension buvable en sachet-dose (Rapport amoxicilline/acide clavulanique : 8/1)
Q2622199	CIS60556852	AMOXICILLINE/ACIDE CLAVULANIQUE ZENTIVA LAB 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)
Q2622199	CIS60516765	AMOXICILLINE/ACIDE CLAVULANIQUE ZENTIVA LAB 500 mg/62,50 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)
Q2622199	CIS60196176	AMOXICILLINE ACIDE CLAVULANIQUE MYLAN 100 mg/12,5 mg par ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
Q2622199	CIS60928772	AMOXICILLINE/ACIDE CLAVULANIQUE ZYDUS FRANCE 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique: 8/1)
Q2622199	CIS60998361	AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)
Q2622199	CIS61634827	AMOXICILLINE ACIDE CLAVULANIQUE SANDOZ 100 mg/12,5 mg par ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
Q2622199	CIS61794842	AMODEX 1 g, comprimé dispersible
Q2622199	CIS61771313	AMOXICILLINE ARROW 125 mg/5 ml, poudre pour suspension buvable
Q2622199	CIS61705224	AMOXICILLINE ZENTIVA 1 g, comprimé pelliculé dispersible
Q2622199	CIS63750773	AMOXICILLINE/ACIDE CLAVULANIQUE SANDOZ 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)
Q2622199	CIS64236198	AMOXICILLINE TEVA 500 mg, gélule
Q2622199	CIS64516894	AMOXICILLINE SANDOZ 250 mg/5 ml, poudre pour suspension buvable
Q2622199	CIS65541548	AMOXICILLINE / ACIDE CLAVULANIQUE MYLAN 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)
Q2622199	CIS65786907	AMOXICILLINE/ACIDE CLAVULANIQUE SANDOZ 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)
Q2622199	CIS65857681	AMOXICILLINE ARROW 500 mg/5 ml, poudre pour suspension buvable
Q2622199	CIS64882258	AMOXICILLINE ARROW 1 g, comprimé pelliculé dispersible
Q2622199	CIS65183581	AMOXICILLINE SANDOZ 125 mg/5 ml, poudre pour suspension buvable
Q2622199	CIS60851920	AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN 1 g/100 mg, poudre pour solution injectable / pour perfusion (IV)
Q2622199	CIS61103310	AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN 500 mg/50 mg, poudre pour solution injectable / pour perfusion (IV)
Q2622199	CIS62096413	AMOXICILLINE/ACIDE CLAVULANIQUE SANDOZ 1 g/200 mg ADULTES, poudre pour solution injectable/pour perfusion (I.V.)
Q2622199	CIS63327759	AMOXICILLINE/ACIDE CLAVULANIQUE SANDOZ 2 g/200 mg ADULTES, poudre pour solution pour perfusion
Q2622199	CIS65324007	AMOXICILLINE/ACIDE CLAVULANIQUE SANDOZ 500 mg/50 mg NOURRISSONS ET ENFANTS, poudre pour solution injectable (I.V.)
Q2622199	CIS64473140	AMOXICILLINE/ACIDE CLAVULANIQUE PANPHARMA 2 g/200 mg ADULTES, poudre pour solution injectable
Q2622199	CIS64338986	AMOXICILLINE ALMUS 500 mg, gélule
Q2622199	CIS64672103	AMOXICILLINE SANDOZ 1 g, comprimé dispersible
Q2622199	CIS64470824	AMOXICILLINE MYLAN PHARMA 1 g, comprimé dispersible
Q2622199	CIS62457618	AMOXICILLINE EG 1 g, comprimé dispersible
Q2622199	CIS60151544	AMOXICILLINE ALMUS 1 g, comprimé dispersible
Q2622199	CIS67140810	CLAMOXYL 250 mg/ 5 ml, poudre pour suspension buvable
Q2622199	CIS67707794	CLAMOXYL 500 mg, gélule
Q2622199	CIS69325964	AUGMENTIN 500 mg/50 mg, poudre pour solution injectable/pour perfusion (IV)
Q2622199	CIS66853013	AUGMENTIN 100 mg/12,50 mg par ml ENFANTS, poudre pour suspension buvable en flacon (Rapport amoxicilline/acide clavulanique : 8/1)
Q2622199	CIS66918105	AMOXICILLINE PANPHARMA 1 g, poudre pour solution injectable
Q2622199	CIS66836715	AMOXICILLINE MYLAN 500 mg, gélule
Q2622199	CIS67489979	AMOXICILLINE EG 500 mg, gélule
Q2622199	CIS69915160	AMOXICILLINE PANPHARMA 1 g/5 ml, poudre et solution pour solution injectable (IM)
Q2622199	CIS69416855	AMOXICILLINE PANPHARMA 2 g, poudre pour solution injectable
Q2622199	CIS69978246	AUGMENTIN 100 mg/12,50 mg par ml NOURRISSONS, poudre pour suspension buvable (Rapport amoxicilline/acide clavulanique : 8/1)
Q2622199	CIS67222296	AMOXICILLINE ACIDE CLAVULANIQUE SANDOZ 100 mg/12,5 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
Q2622199	CIS66773446	AMOXICILLINE ARROW 250 mg/5 ml, poudre pour suspension buvable
Q2622199	CIS67385172	AMOXICILLINE BIOGARAN 1 g, comprimé dispersible
Q2622199	CIS67071339	AMOXICILLINE ALMUS 1 g, comprimé pelliculé dispersible
Q2622199	CIS68144249	AMOXICILLINE ACIDE CLAVULANIQUE MYLAN 100 mg/12,5 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
Q2622199	CIS68399919	AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN 1 g/200 mg ADULTES, poudre pour solution injectable / pour perfusion (IV)
Q2622199	CIS67744718	AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN 2 g/200 mg ADULTES, poudre pour solution pour perfusion
Q2622199	CIS69857586	AMOXICILLINE SANDOZ 500 mg/5 ml, poudre pour suspension buvable
Q2622199	CIS66929913	AMOXICILLINE/ACIDE CLAVULANIQUE ZENTIVA K.S 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)
Q2622199	CIS66916798	AMOXICILLINE ARROW LAB 500 mg, gélule
Q2622199	CIS69489433	AMOXICILLINE CRISTERS 1 g, comprimé dispersible
Q2622199	CIS69166540	AMOXICILLINE ARROW LAB 1 g, comprimé dispersible
Q18968110	CIS61155773	CLAMOXYL 125 mg/5 ml, poudre pour suspension buvable
Q18968110	CIS60271045	CLAMOXYL 2 g, poudre pour solution injectable (I.V.)
Q18968110	CIS61801023	CLAMOXYL 1 g, poudre pour solution injectable (I.M.-I.V.)
Q18968110	CIS61645058	CLAMOXYL 500 mg, poudre pour solution injectable (I.M., I.V.)
Q18968110	CIS63084015	AUGMENTIN 2 g/200 mg ADULTES, poudre pour solution pour perfusion
Q18968110	CIS62607530	CLAMOXYL 500 mg/5 ml, poudre pour suspension buvable
Q18968110	CIS64582182	AUGMENTIN 1 g/200 mg, poudre pour solution injectable/pour perfusion (IV)
Q18968110	CIS64539416	CLAMOXYL 1 g, comprimé dispersible
Q18968110	CIS60453197	AMOXICILLINE BIOGARAN 500 mg/5 ml, poudre pour suspension buvable
Q18968110	CIS61633586	AMOXICILLINE ZYDUS 500 mg/5 ml, poudre pour suspension buvable
Q18968110	CIS63565244	AUGMENTIN 500 mg/62,5 mg, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)
Q18968110	CIS62846562	AMOXICILLINE EG LABO 1 g, comprimé dispersible
Q18968110	CIS66053338	AUGMENTIN 1 g/125 mg, poudre pour suspension buvable en sachet-dose (Rapport amoxicilline/acide clavulanique : 8/1)
Q18968110	CIS60556852	AMOXICILLINE/ACIDE CLAVULANIQUE ZENTIVA LAB 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)
Q18968110	CIS60516765	AMOXICILLINE/ACIDE CLAVULANIQUE ZENTIVA LAB 500 mg/62,50 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)
Q18968110	CIS60196176	AMOXICILLINE ACIDE CLAVULANIQUE MYLAN 100 mg/12,5 mg par ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
Q18968110	CIS60928772	AMOXICILLINE/ACIDE CLAVULANIQUE ZYDUS FRANCE 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique: 8/1)
Q18968110	CIS60998361	AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)
Q18968110	CIS61634827	AMOXICILLINE ACIDE CLAVULANIQUE SANDOZ 100 mg/12,5 mg par ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
Q18968110	CIS61794842	AMODEX 1 g, comprimé dispersible
Q18968110	CIS61771313	AMOXICILLINE ARROW 125 mg/5 ml, poudre pour suspension buvable
Q18968110	CIS61705224	AMOXICILLINE ZENTIVA 1 g, comprimé pelliculé dispersible
Q18968110	CIS63750773	AMOXICILLINE/ACIDE CLAVULANIQUE SANDOZ 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)
Q18968110	CIS64236198	AMOXICILLINE TEVA 500 mg, gélule
Q18968110	CIS64516894	AMOXICILLINE SANDOZ 250 mg/5 ml, poudre pour suspension buvable
Q18968110	CIS65541548	AMOXICILLINE / ACIDE CLAVULANIQUE MYLAN 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)
Q18968110	CIS65786907	AMOXICILLINE/ACIDE CLAVULANIQUE SANDOZ 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)
Q18968110	CIS65857681	AMOXICILLINE ARROW 500 mg/5 ml, poudre pour suspension buvable
Q18968110	CIS64882258	AMOXICILLINE ARROW 1 g, comprimé pelliculé dispersible
Q18968110	CIS65183581	AMOXICILLINE SANDOZ 125 mg/5 ml, poudre pour suspension buvable
Q18968110	CIS60851920	AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN 1 g/100 mg, poudre pour solution injectable / pour perfusion (IV)
Q18968110	CIS61103310	AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN 500 mg/50 mg, poudre pour solution injectable / pour perfusion (IV)
Q18968110	CIS62096413	AMOXICILLINE/ACIDE CLAVULANIQUE SANDOZ 1 g/200 mg ADULTES, poudre pour solution injectable/pour perfusion (I.V.)
Q18968110	CIS63327759	AMOXICILLINE/ACIDE CLAVULANIQUE SANDOZ 2 g/200 mg ADULTES, poudre pour solution pour perfusion
Q18968110	CIS65324007	AMOXICILLINE/ACIDE CLAVULANIQUE SANDOZ 500 mg/50 mg NOURRISSONS ET ENFANTS, poudre pour solution injectable (I.V.)
Q18968110	CIS64473140	AMOXICILLINE/ACIDE CLAVULANIQUE PANPHARMA 2 g/200 mg ADULTES, poudre pour solution injectable
Q18968110	CIS64338986	AMOXICILLINE ALMUS 500 mg, gélule
Q18968110	CIS64672103	AMOXICILLINE SANDOZ 1 g, comprimé dispersible
Q18968110	CIS64470824	AMOXICILLINE MYLAN PHARMA 1 g, comprimé dispersible
Q18968110	CIS62457618	AMOXICILLINE EG 1 g, comprimé dispersible
Q18968110	CIS60151544	AMOXICILLINE ALMUS 1 g, comprimé dispersible
Q18968110	CIS67140810	CLAMOXYL 250 mg/ 5 ml, poudre pour suspension buvable
Q18968110	CIS67707794	CLAMOXYL 500 mg, gélule
Q18968110	CIS69325964	AUGMENTIN 500 mg/50 mg, poudre pour solution injectable/pour perfusion (IV)
Q18968110	CIS66853013	AUGMENTIN 100 mg/12,50 mg par ml ENFANTS, poudre pour suspension buvable en flacon (Rapport amoxicilline/acide clavulanique : 8/1)
Q18968110	CIS66918105	AMOXICILLINE PANPHARMA 1 g, poudre pour solution injectable
Q18968110	CIS66836715	AMOXICILLINE MYLAN 500 mg, gélule
Q18968110	CIS67489979	AMOXICILLINE EG 500 mg, gélule
Q18968110	CIS69915160	AMOXICILLINE PANPHARMA 1 g/5 ml, poudre et solution pour solution injectable (IM)
Q18968110	CIS69416855	AMOXICILLINE PANPHARMA 2 g, poudre pour solution injectable
Q18968110	CIS69978246	AUGMENTIN 100 mg/12,50 mg par ml NOURRISSONS, poudre pour suspension buvable (Rapport amoxicilline/acide clavulanique : 8/1)
Q18968110	CIS67222296	AMOXICILLINE ACIDE CLAVULANIQUE SANDOZ 100 mg/12,5 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
Q18968110	CIS66773446	AMOXICILLINE ARROW 250 mg/5 ml, poudre pour suspension buvable
Q18968110	CIS67385172	AMOXICILLINE BIOGARAN 1 g, comprimé dispersible
Q18968110	CIS67071339	AMOXICILLINE ALMUS 1 g, comprimé pelliculé dispersible
Q18968110	CIS68144249	AMOXICILLINE ACIDE CLAVULANIQUE MYLAN 100 mg/12,5 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
Q18968110	CIS68399919	AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN 1 g/200 mg ADULTES, poudre pour solution injectable / pour perfusion (IV)
Q18968110	CIS67744718	AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN 2 g/200 mg ADULTES, poudre pour solution pour perfusion
Q18968110	CIS69857586	AMOXICILLINE SANDOZ 500 mg/5 ml, poudre pour suspension buvable
Q18968110	CIS66929913	AMOXICILLINE/ACIDE CLAVULANIQUE ZENTIVA K.S 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)
Q18968110	CIS66916798	AMOXICILLINE ARROW LAB 500 mg, gélule
Q18968110	CIS69489433	AMOXICILLINE CRISTERS 1 g, comprimé dispersible
Q18968110	CIS69166540	AMOXICILLINE ARROW LAB 1 g, comprimé dispersible
Q19597369	CIS61155773	CLAMOXYL 125 mg/5 ml, poudre pour suspension buvable
Q19597369	CIS60271045	CLAMOXYL 2 g, poudre pour solution injectable (I.V.)
Q19597369	CIS61801023	CLAMOXYL 1 g, poudre pour solution injectable (I.M.-I.V.)
Q19597369	CIS61645058	CLAMOXYL 500 mg, poudre pour solution injectable (I.M., I.V.)
Q19597369	CIS63084015	AUGMENTIN 2 g/200 mg ADULTES, poudre pour solution pour perfusion
Q19597369	CIS62607530	CLAMOXYL 500 mg/5 ml, poudre pour suspension buvable
Q19597369	CIS64582182	AUGMENTIN 1 g/200 mg, poudre pour solution injectable/pour perfusion (IV)
Q19597369	CIS64539416	CLAMOXYL 1 g, comprimé dispersible
Q19597369	CIS60453197	AMOXICILLINE BIOGARAN 500 mg/5 ml, poudre pour suspension buvable
Q19597369	CIS61633586	AMOXICILLINE ZYDUS 500 mg/5 ml, poudre pour suspension buvable
Q19597369	CIS63565244	AUGMENTIN 500 mg/62,5 mg, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)
Q19597369	CIS62846562	AMOXICILLINE EG LABO 1 g, comprimé dispersible
Q19597369	CIS66053338	AUGMENTIN 1 g/125 mg, poudre pour suspension buvable en sachet-dose (Rapport amoxicilline/acide clavulanique : 8/1)
Q19597369	CIS60556852	AMOXICILLINE/ACIDE CLAVULANIQUE ZENTIVA LAB 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)
Q19597369	CIS60516765	AMOXICILLINE/ACIDE CLAVULANIQUE ZENTIVA LAB 500 mg/62,50 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)
Q19597369	CIS60196176	AMOXICILLINE ACIDE CLAVULANIQUE MYLAN 100 mg/12,5 mg par ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
Q19597369	CIS60928772	AMOXICILLINE/ACIDE CLAVULANIQUE ZYDUS FRANCE 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique: 8/1)
Q19597369	CIS60998361	AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)
Q19597369	CIS61634827	AMOXICILLINE ACIDE CLAVULANIQUE SANDOZ 100 mg/12,5 mg par ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
Q19597369	CIS61794842	AMODEX 1 g, comprimé dispersible
Q19597369	CIS61771313	AMOXICILLINE ARROW 125 mg/5 ml, poudre pour suspension buvable
Q19597369	CIS61705224	AMOXICILLINE ZENTIVA 1 g, comprimé pelliculé dispersible
Q19597369	CIS63750773	AMOXICILLINE/ACIDE CLAVULANIQUE SANDOZ 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)
Q19597369	CIS64236198	AMOXICILLINE TEVA 500 mg, gélule
Q19597369	CIS64516894	AMOXICILLINE SANDOZ 250 mg/5 ml, poudre pour suspension buvable
Q19597369	CIS65541548	AMOXICILLINE / ACIDE CLAVULANIQUE MYLAN 500 mg/62,5 mg ADULTES, comprimé pelliculé (rapport amoxicilline/acide clavulanique : 8/1)
Q19597369	CIS65786907	AMOXICILLINE/ACIDE CLAVULANIQUE SANDOZ 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)
Q19597369	CIS65857681	AMOXICILLINE ARROW 500 mg/5 ml, poudre pour suspension buvable
Q19597369	CIS64882258	AMOXICILLINE ARROW 1 g, comprimé pelliculé dispersible
Q19597369	CIS65183581	AMOXICILLINE SANDOZ 125 mg/5 ml, poudre pour suspension buvable
Q19597369	CIS60851920	AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN 1 g/100 mg, poudre pour solution injectable / pour perfusion (IV)
Q19597369	CIS61103310	AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN 500 mg/50 mg, poudre pour solution injectable / pour perfusion (IV)
Q19597369	CIS62096413	AMOXICILLINE/ACIDE CLAVULANIQUE SANDOZ 1 g/200 mg ADULTES, poudre pour solution injectable/pour perfusion (I.V.)
Q19597369	CIS63327759	AMOXICILLINE/ACIDE CLAVULANIQUE SANDOZ 2 g/200 mg ADULTES, poudre pour solution pour perfusion
Q19597369	CIS65324007	AMOXICILLINE/ACIDE CLAVULANIQUE SANDOZ 500 mg/50 mg NOURRISSONS ET ENFANTS, poudre pour solution injectable (I.V.)
Q19597369	CIS64473140	AMOXICILLINE/ACIDE CLAVULANIQUE PANPHARMA 2 g/200 mg ADULTES, poudre pour solution injectable
Q19597369	CIS64338986	AMOXICILLINE ALMUS 500 mg, gélule
Q19597369	CIS64672103	AMOXICILLINE SANDOZ 1 g, comprimé dispersible
Q19597369	CIS64470824	AMOXICILLINE MYLAN PHARMA 1 g, comprimé dispersible
Q19597369	CIS62457618	AMOXICILLINE EG 1 g, comprimé dispersible
Q19597369	CIS60151544	AMOXICILLINE ALMUS 1 g, comprimé dispersible
Q19597369	CIS67140810	CLAMOXYL 250 mg/ 5 ml, poudre pour suspension buvable
Q19597369	CIS67707794	CLAMOXYL 500 mg, gélule
Q19597369	CIS69325964	AUGMENTIN 500 mg/50 mg, poudre pour solution injectable/pour perfusion (IV)
Q19597369	CIS66853013	AUGMENTIN 100 mg/12,50 mg par ml ENFANTS, poudre pour suspension buvable en flacon (Rapport amoxicilline/acide clavulanique : 8/1)
Q19597369	CIS66918105	AMOXICILLINE PANPHARMA 1 g, poudre pour solution injectable
Q19597369	CIS66836715	AMOXICILLINE MYLAN 500 mg, gélule
Q19597369	CIS67489979	AMOXICILLINE EG 500 mg, gélule
Q19597369	CIS69915160	AMOXICILLINE PANPHARMA 1 g/5 ml, poudre et solution pour solution injectable (IM)
Q19597369	CIS69416855	AMOXICILLINE PANPHARMA 2 g, poudre pour solution injectable
Q19597369	CIS69978246	AUGMENTIN 100 mg/12,50 mg par ml NOURRISSONS, poudre pour suspension buvable (Rapport amoxicilline/acide clavulanique : 8/1)
Q19597369	CIS67222296	AMOXICILLINE ACIDE CLAVULANIQUE SANDOZ 100 mg/12,5 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
Q19597369	CIS66773446	AMOXICILLINE ARROW 250 mg/5 ml, poudre pour suspension buvable
Q19597369	CIS67385172	AMOXICILLINE BIOGARAN 1 g, comprimé dispersible
Q19597369	CIS67071339	AMOXICILLINE ALMUS 1 g, comprimé pelliculé dispersible
Q19597369	CIS68144249	AMOXICILLINE ACIDE CLAVULANIQUE MYLAN 100 mg/12,5 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
Q19597369	CIS68399919	AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN 1 g/200 mg ADULTES, poudre pour solution injectable / pour perfusion (IV)
Q19597369	CIS67744718	AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN 2 g/200 mg ADULTES, poudre pour solution pour perfusion
Q19597369	CIS69857586	AMOXICILLINE SANDOZ 500 mg/5 ml, poudre pour suspension buvable
Q19597369	CIS66929913	AMOXICILLINE/ACIDE CLAVULANIQUE ZENTIVA K.S 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)
Q19597369	CIS66916798	AMOXICILLINE ARROW LAB 500 mg, gélule
Q19597369	CIS69489433	AMOXICILLINE CRISTERS 1 g, comprimé dispersible
Q19597369	CIS69166540	AMOXICILLINE ARROW LAB 1 g, comprimé dispersible
Q544006	CIS62416105	TRANXENE 20 mg/2 ml, lyophilisat et solution pour usage parentéral
Q544006	CIS67956742	TRANXENE 10 mg, gélule
Q544006	CIS68494908	TRANXENE 5 mg, gélule
Q544006	CIS69388085	TRANXENE 50 mg/2,5 ml, lyophilisat et solution pour usage parentéral
Q544006	CIS68644101	TRANXENE 20 mg, gélule
Q1472	CIS68722564	TYSABRI 300 mg, solution à diluer pour perfusion
Q8277	CIS68722564	TYSABRI 300 mg, solution à diluer pour perfusion
Q41861	CIS61547571	LASILIX SPECIAL 500 mg, comprimé sécable
Q41861	CIS61337509	FUROSEMIDE BIOGARAN 40 mg, comprimé sécable
Q41861	CIS63736250	LASILIX 10 mg/ml, solution buvable
Q41861	CIS63921217	FUROSEMIDE BIOGARAN 20 mg, comprimé
Q41861	CIS63824615	LOGIRENE, comprimé sécable
Q41861	CIS66441419	LASILIX 20 mg/2 ml, solution injectable en ampoule
Q41861	CIS65606743	LASILIX 40 mg, comprimé sécable
Q41861	CIS61003267	FUROSEMIDE LAVOISIER 20 mg/2 ml, solution injectable (IM-IV)
Q41861	CIS60192594	FUROSEMIDE ARROW 40 mg, comprimé sécable
Q41861	CIS61673890	FUROSEMIDE MYLAN 20 mg, comprimé sécable
Q41861	CIS61763619	FUROSEMIDE TEVA 40 mg, comprimé sécable
Q41861	CIS63076303	FUROSEMIDE EG 40 mg, comprimé sécable
Q41861	CIS62499439	FUROSEMIDE ZENTIVA 20 mg, comprimé sécable
Q41861	CIS65587816	FUROSEMIDE KABI 20 mg/2 ml, solution injectable
Q41861	CIS64270535	FUROSEMIDE TEVA 500 mg, comprimé sécable
Q41861	CIS62435116	FUROSEMIDE ZENTIVA 500 mg, comprimé sécable
