ICD10	PMSI	diseaseName	Wikidata	UMLS	synonyms	abbreviation
B08.4	PMSI:DIAGNOSTIC-ICD10CHU|B08.4	Stomatite vésiculaire avec exanthème, due à un entérovirus	Q652744	n/a	n/a	n/a
B08.5	PMSI:DIAGNOSTIC-ICD10CHU|B08.5	Pharyngite vésiculaire due à un entérovirus	Q665258	n/a	n/a	n/a
B08.8	PMSI:DIAGNOSTIC-ICD10CHU|B08.8	Autres infections virales précisées, caractérisées par des lésions cutanéo-muqueuses	n/a	n/a	n/a	n/a
B15.0	PMSI:DIAGNOSTIC-ICD10CHU|B15.0	Hépatite A aiguë avec coma hépatique	n/a	n/a	n/a	n/a
B15.9	PMSI:DIAGNOSTIC-ICD10CHU|B15.9	Hépatite A aiguë (sans coma)	n/a	n/a	n/a	n/a
B16.1	PMSI:DIAGNOSTIC-ICD10CHU|B16.1	Hépatite B aiguë + agent delta (sans coma)	n/a	n/a	n/a	n/a
B16.2	PMSI:DIAGNOSTIC-ICD10CHU|B16.2	Hépatite B aiguë sans agent delta avec coma	n/a	n/a	n/a	n/a
B16.9	PMSI:DIAGNOSTIC-ICD10CHU|B16.9	Hépatite B aiguë sans agent delta (sans coma)	n/a	n/a	n/a	n/a
B17.1	PMSI:DIAGNOSTIC-ICD10CHU|B17.1	Hépatite C aiguë	n/a	n/a	n/a	n/a
B17.8	PMSI:DIAGNOSTIC-ICD10CHU|B17.8	Autres hépatites virales aigües précisées	n/a	n/a	n/a	n/a
B17.9	PMSI:DIAGNOSTIC-ICD10CHU|B17.9	Hépatite virale aigue, SP	n/a	n/a	n/a	n/a
B18.09	PMSI:DIAGNOSTIC-ICD10CHU|B18.09	Hépatite virale chronique B avec agent delta, phase autre et non spécifiée	n/a	n/a	n/a	n/a
B18.10	PMSI:DIAGNOSTIC-ICD10CHU|B18.10	Hépatite virale chronique B sans agent delta, phase d'immunotolérance	n/a	n/a	n/a	n/a
B18.19	PMSI:DIAGNOSTIC-ICD10CHU|B18.19	Hépatite virale chronique B sans agent delta, phase autre et non spécifiée	n/a	n/a	n/a	n/a
B18.2	PMSI:DIAGNOSTIC-ICD10CHU|B18.2	Hépatite virale chronique C	n/a	n/a	n/a	n/a
B18.8	PMSI:DIAGNOSTIC-ICD10CHU|B18.8	Autres hépatites virales chroniques	n/a	n/a	n/a	n/a
B19.0	PMSI:DIAGNOSTIC-ICD10CHU|B19.0	Hépatite virale, sans précision, avec coma	n/a	n/a	n/a	n/a
B19.9	PMSI:DIAGNOSTIC-ICD10CHU|B19.9	Hépatite virale, sans précision, sans coma	n/a	n/a	n/a	n/a
B20.2	PMSI:DIAGNOSTIC-ICD10CHU|B20.2	Maladie par VIH à l'origine d'infections à cytomégalovirus	n/a	n/a	n/a	n/a
B20.3	PMSI:DIAGNOSTIC-ICD10CHU|B20.3	Maladie par VIH à l'origine d'autres infections virales	n/a	n/a	n/a	n/a
B20.4	PMSI:DIAGNOSTIC-ICD10CHU|B20.4	Maladie par VIH à l'origine de candidose	n/a	n/a	n/a	n/a
B20.6	PMSI:DIAGNOSTIC-ICD10CHU|B20.6	Maladie par VIH à l'origine de pneumopathie à Pneumocystis carinii	n/a	n/a	n/a	n/a
B20.7	PMSI:DIAGNOSTIC-ICD10CHU|B20.7	Maladie par VIH à l'origine d'infections multiples	n/a	n/a	n/a	n/a
B20.8	PMSI:DIAGNOSTIC-ICD10CHU|B20.8	Maladie par VIH à l'origine d'autres maladies infectieuses et parasitaires	n/a	n/a	n/a	n/a
B20.9	PMSI:DIAGNOSTIC-ICD10CHU|B20.9	Maladie par VIH à l'origine d'une maladie infectieuse ou parasitaire non précisée	n/a	n/a	n/a	n/a
B21.1	PMSI:DIAGNOSTIC-ICD10CHU|B21.1	Maladie par VIH à l'origine d'un lymphome de Burkitt	n/a	n/a	n/a	n/a
B21.2	PMSI:DIAGNOSTIC-ICD10CHU|B21.2	Maladie par VIH à l'origine d'autres lymphomes non hodgkiniens	n/a	n/a	n/a	n/a
B21.3	PMSI:DIAGNOSTIC-ICD10CHU|B21.3	Maladie VIH à l'origine d'autres tumeurs malignes tissus lymphoïde, hématopoïétique et apparentés	n/a	n/a	n/a	n/a
B21.7	PMSI:DIAGNOSTIC-ICD10CHU|B21.7	Maladie par VIH à l'origine de tumeurs malignes multiples	n/a	n/a	n/a	n/a
B21.8	PMSI:DIAGNOSTIC-ICD10CHU|B21.8	Maladie par VIH à l'origine d'autres tumeurs malignes	n/a	n/a	n/a	n/a
B21.9	PMSI:DIAGNOSTIC-ICD10CHU|B21.9	Maladie par VIH à l'origine d'une tumeur maligne, sans précision	n/a	n/a	n/a	n/a
B22.0	PMSI:DIAGNOSTIC-ICD10CHU|B22.0	Maladie par VIH à l'origine d'une encéphalopathie	Q3435504	n/a	n/a	n/a
B22.1	PMSI:DIAGNOSTIC-ICD10CHU|B22.1	Maladie par VIH à l'origine d'une pneumopathie lymphoïde interstitielle	n/a	n/a	n/a	n/a
B22.2	PMSI:DIAGNOSTIC-ICD10CHU|B22.2	Maladie par VIH à l'origine d'un syndrome cachectique	n/a	n/a	n/a	n/a
B22.7	PMSI:DIAGNOSTIC-ICD10CHU|B22.7	Maladie par VIH à l'origine de maladies multiples classées ailleurs	n/a	n/a	n/a	n/a
B23.0	PMSI:DIAGNOSTIC-ICD10CHU|B23.0	Syndrome d'infection aigüe par VIH	n/a	n/a	n/a	n/a
B23.1	PMSI:DIAGNOSTIC-ICD10CHU|B23.1	Maladie par VIH à l'origine d'adénopathies généralisées (persistantes)	n/a	n/a	n/a	n/a
B23.2	PMSI:DIAGNOSTIC-ICD10CHU|B23.2	Maladie par VIH à l'origine d'anomalies hématologiques et immunologiques, non classées ailleurs	n/a	n/a	n/a	n/a
B23.8	PMSI:DIAGNOSTIC-ICD10CHU|B23.8	Maladie par VIH à l'origine d'autres états précisés	n/a	n/a	n/a	n/a
B24.0	PMSI:DIAGNOSTIC-ICD10CHU|B24.0	n/a	n/a	n/a	n/a	n/a
B24.1	PMSI:DIAGNOSTIC-ICD10CHU|B24.1	n/a	n/a	n/a	n/a	n/a
B24.9	PMSI:DIAGNOSTIC-ICD10CHU|B24.9	n/a	n/a	n/a	n/a	n/a
B25.0	PMSI:DIAGNOSTIC-ICD10CHU|B25.0	Pneumopathie à cytomégalovirus $ (J171*)	n/a	n/a	n/a	n/a
B25.2	PMSI:DIAGNOSTIC-ICD10CHU|B25.2	Pancréatite à cytomégalovirus $ (K871*)	n/a	n/a	n/a	n/a
B25.9	PMSI:DIAGNOSTIC-ICD10CHU|B25.9	Maladie à cytomégalovirus, sans précision	n/a	n/a	n/a	n/a
B26.0	PMSI:DIAGNOSTIC-ICD10CHU|B26.0	Orchite ourlienne	n/a	n/a	n/a	n/a
B26.1	PMSI:DIAGNOSTIC-ICD10CHU|B26.1	Méningite ourlienne	n/a	n/a	n/a	n/a
B26.3	PMSI:DIAGNOSTIC-ICD10CHU|B26.3	Pancréatite ourlienne$ (K871*)	n/a	n/a	n/a	n/a
B26.8	PMSI:DIAGNOSTIC-ICD10CHU|B26.8	Oreillons avec autres complications	n/a	n/a	n/a	n/a
B27.0	PMSI:DIAGNOSTIC-ICD10CHU|B27.0	Mononucléose due à herpès virus gamma	n/a	n/a	n/a	['MNI']
B27.1	PMSI:DIAGNOSTIC-ICD10CHU|B27.1	Mononucléose à cytomégalovirus	n/a	n/a	n/a	n/a
B27.8	PMSI:DIAGNOSTIC-ICD10CHU|B27.8	Autres mononucléoses infectieuses	n/a	n/a	n/a	n/a
B27.9	PMSI:DIAGNOSTIC-ICD10CHU|B27.9	Mononucléose infectieuse, SP	n/a	n/a	n/a	['MNI']
B30.1	PMSI:DIAGNOSTIC-ICD10CHU|B30.1	Conjonctivite due à un adénovirus$ (H131*)	n/a	n/a	n/a	n/a
B30.2	PMSI:DIAGNOSTIC-ICD10CHU|B30.2	Pharyngo-conjonctivite virale	n/a	n/a	n/a	n/a
M65.02	PMSI:DIAGNOSTIC-ICD10CHU|M65.02	Abcès de la gaine du tendon - Bras	n/a	n/a	n/a	n/a
M65.12	PMSI:DIAGNOSTIC-ICD10CHU|M65.12	Autres (téno)synovites infectieuses - Bras	n/a	n/a	n/a	n/a
M65.28	PMSI:DIAGNOSTIC-ICD10CHU|M65.28	Tendinite calcifiante - Autres localisations	n/a	n/a	n/a	n/a
M65.8	PMSI:DIAGNOSTIC-ICD10CHU|M65.8	Autres synovites et ténosynovites	n/a	n/a	n/a	n/a
M65.93	PMSI:DIAGNOSTIC-ICD10CHU|M65.93	Synovite et ténosynovite, sans précision - Avant-bras	n/a	n/a	n/a	n/a
M65.97	PMSI:DIAGNOSTIC-ICD10CHU|M65.97	Synovite et ténosynovite, sans précision - Cheville et pied	n/a	n/a	n/a	n/a
M66.26	PMSI:DIAGNOSTIC-ICD10CHU|M66.26	Déchirure spontanée des tendons extenseurs - Jambe	n/a	n/a	n/a	n/a
M66.27	PMSI:DIAGNOSTIC-ICD10CHU|M66.27	Déchirure spontanée des tendons extenseurs - Cheville et pied	n/a	n/a	n/a	n/a
M66.41	PMSI:DIAGNOSTIC-ICD10CHU|M66.41	Déchirure spontanée d'autres tendons - Région scapulaire	n/a	n/a	n/a	n/a
M66.51	PMSI:DIAGNOSTIC-ICD10CHU|M66.51	Déchirure spontanée d'un tendon, sans précision - Région scapulaire	n/a	n/a	n/a	n/a
M67.0	PMSI:DIAGNOSTIC-ICD10CHU|M67.0	Brièveté du tendon d'Achille (acquise)	n/a	n/a	n/a	n/a
M68.8	PMSI:DIAGNOSTIC-ICD10CHU|M68.8	Autres atteintes de la synoviale et du tendon au cours de maladies classées ailleurs	n/a	n/a	n/a	n/a
M70.0	PMSI:DIAGNOSTIC-ICD10CHU|M70.0	Synovite sèche de la main et du poignet	n/a	n/a	n/a	n/a
M70.4	PMSI:DIAGNOSTIC-ICD10CHU|M70.4	Bursite prépatellaire	n/a	n/a	n/a	n/a
M71.0	PMSI:DIAGNOSTIC-ICD10CHU|M71.0	Abcès des bourses séreuses	n/a	n/a	n/a	n/a
M71.01	PMSI:DIAGNOSTIC-ICD10CHU|M71.01	Abcès des bourses séreuses - Région scapulaire	n/a	n/a	n/a	n/a
M71.13	PMSI:DIAGNOSTIC-ICD10CHU|M71.13	Autres bursites infectieuses - Avant-bras	n/a	n/a	n/a	n/a
M71.19	PMSI:DIAGNOSTIC-ICD10CHU|M71.19	Autres bursites infectieuses - Siège non précisé	n/a	n/a	n/a	n/a
M71.2	PMSI:DIAGNOSTIC-ICD10CHU|M71.2	Kyste synovial poplité [Baker]	n/a	n/a	n/a	n/a
M71.3	PMSI:DIAGNOSTIC-ICD10CHU|M71.3	Autres kystes des bourses séreuses	n/a	n/a	n/a	n/a
M71.30	PMSI:DIAGNOSTIC-ICD10CHU|M71.30	Autres kystes des bourses séreuses - Sièges multiples	n/a	n/a	n/a	n/a
M71.32	PMSI:DIAGNOSTIC-ICD10CHU|M71.32	Autres kystes des bourses séreuses - Bras	n/a	n/a	n/a	n/a
M71.38	PMSI:DIAGNOSTIC-ICD10CHU|M71.38	Autres kystes des bourses séreuses - Autres localisations	n/a	n/a	n/a	n/a
M71.5	PMSI:DIAGNOSTIC-ICD10CHU|M71.5	Autres bursites, non classées ailleurs	n/a	n/a	n/a	n/a
M72.41	PMSI:DIAGNOSTIC-ICD10CHU|M72.41	Fibromatose pseudo-sarcomateuse - Région scapulaire	n/a	n/a	n/a	n/a
M72.44	PMSI:DIAGNOSTIC-ICD10CHU|M72.44	Fibromatose pseudo-sarcomateuse - Main	n/a	n/a	n/a	n/a
M72.63	PMSI:DIAGNOSTIC-ICD10CHU|M72.63	Fasciite nécrosante - Avant-bras	n/a	n/a	n/a	n/a
M72.65	PMSI:DIAGNOSTIC-ICD10CHU|M72.65	Fasciite nécrosante - Région pelvienne et cuisse	n/a	n/a	n/a	n/a
M72.66	PMSI:DIAGNOSTIC-ICD10CHU|M72.66	Fasciite nécrosante - Jambe	n/a	n/a	n/a	n/a
M72.82	PMSI:DIAGNOSTIC-ICD10CHU|M72.82	Autres affections fibroblastiques - Bras	n/a	n/a	n/a	n/a
M75.8	PMSI:DIAGNOSTIC-ICD10CHU|M75.8	Autres lésions de l'épaule	n/a	n/a	n/a	n/a
M76.25	PMSI:DIAGNOSTIC-ICD10CHU|M76.25	Exostose de la crête iliaque - Région pelvienne et cuisse	n/a	n/a	n/a	n/a
M76.46	PMSI:DIAGNOSTIC-ICD10CHU|M76.46	Bursite du ligament latéral interne du genou (Pellegrini-Stieda) - Jambe	n/a	n/a	n/a	n/a
M76.67	PMSI:DIAGNOSTIC-ICD10CHU|M76.67	Tendinite du tendon d'Achille	n/a	n/a	n/a	n/a
M76.85	PMSI:DIAGNOSTIC-ICD10CHU|M76.85	Autres enthésopathies du membre inférieur, sauf le pied - Région pelvienne et cuisse	n/a	n/a	n/a	n/a
M77.47	PMSI:DIAGNOSTIC-ICD10CHU|M77.47	Métatarsalgie - Cheville et pied	n/a	n/a	n/a	n/a
M77.80	PMSI:DIAGNOSTIC-ICD10CHU|M77.80	Autres enthésopathies, non classées ailleurs - Sièges multiples	n/a	n/a	n/a	n/a
M77.91	PMSI:DIAGNOSTIC-ICD10CHU|M77.91	Enthésopathie, sans précision - Région scapulaire	n/a	n/a	n/a	n/a
M77.93	PMSI:DIAGNOSTIC-ICD10CHU|M77.93	Enthésopathie, sans précision - Avant-bras	n/a	n/a	n/a	n/a
M79.08	PMSI:DIAGNOSTIC-ICD10CHU|M79.08	Rhumatisme, sans précision - Autres localisations	n/a	n/a	n/a	n/a
M79.10	PMSI:DIAGNOSTIC-ICD10CHU|M79.10	Myalgie - Sièges multiples	n/a	n/a	n/a	n/a
M79.36	PMSI:DIAGNOSTIC-ICD10CHU|M79.36	Panniculite, sans précision - Jambe	n/a	n/a	n/a	n/a
M79.52	PMSI:DIAGNOSTIC-ICD10CHU|M79.52	Corps étranger résiduel dans un tissu mou - Bras	n/a	n/a	n/a	n/a
M79.54	PMSI:DIAGNOSTIC-ICD10CHU|M79.54	Corps étranger résiduel dans un tissu mou - Main	n/a	n/a	n/a	n/a
M79.56	PMSI:DIAGNOSTIC-ICD10CHU|M79.56	Corps étranger résiduel dans un tissu mou - Jambe	n/a	n/a	n/a	n/a
M79.60	PMSI:DIAGNOSTIC-ICD10CHU|M79.60	Douleur au niveau d'un membre - Sièges multiples	n/a	n/a	n/a	n/a
M79.76	PMSI:DIAGNOSTIC-ICD10CHU|M79.76	Fibromyalgie - Jambe	n/a	n/a	n/a	n/a
M79.83	PMSI:DIAGNOSTIC-ICD10CHU|M79.83	Autres affections précisées des tissus mous - Avant-bras	n/a	n/a	n/a	n/a
M80.06	PMSI:DIAGNOSTIC-ICD10CHU|M80.06	Ostéoporose post-ménopausique avec fracture pathologique - Jambe	n/a	n/a	n/a	n/a
M80.17	PMSI:DIAGNOSTIC-ICD10CHU|M80.17	Ostéoporose post-ovariectomie avec fracture pathologique - Cheville et pied	n/a	n/a	n/a	n/a
M80.27	PMSI:DIAGNOSTIC-ICD10CHU|M80.27	Ostéoporose d'inactivité avec fracture pathologique - Cheville et pied	n/a	n/a	n/a	n/a
M80.30	PMSI:DIAGNOSTIC-ICD10CHU|M80.30	Ostéoporose due à malabsorption post-chir - Fracture pathologique - Sièges multiples	n/a	n/a	n/a	n/a
M80.43	PMSI:DIAGNOSTIC-ICD10CHU|M80.43	Ostéoporose médicamenteuse avec fracture pathologique - Avant-bras	n/a	n/a	n/a	n/a
M80.52	PMSI:DIAGNOSTIC-ICD10CHU|M80.52	Ostéoporose idiopathique avec fracture pathologique - Bras	n/a	n/a	n/a	n/a
M80.54	PMSI:DIAGNOSTIC-ICD10CHU|M80.54	Ostéoporose idiopathique avec fracture pathologique - Main	n/a	n/a	n/a	n/a
M8003/3	PMSI:DIAGNOSTIC-ICD10CHU|M8003/3	Tumeur maligne à grandes cellules	n/a	n/a	n/a	n/a
M8032/3	PMSI:DIAGNOSTIC-ICD10CHU|M8032/3	Spindle cell carcinoma, NOS	n/a	n/a	n/a	n/a
M8040/0	PMSI:DIAGNOSTIC-ICD10CHU|M8040/0	Tumorlet bénin	n/a	n/a	n/a	n/a
M8084/3	PMSI:DIAGNOSTIC-ICD10CHU|M8084/3	Squamous cell carcinoma, clear cell type	n/a	n/a	n/a	n/a
M8095/3	PMSI:DIAGNOSTIC-ICD10CHU|M8095/3	Metatypical carcinoma	n/a	n/a	n/a	n/a
M81.07	PMSI:DIAGNOSTIC-ICD10CHU|M81.07	Ostéoporose post-ménopausique - Cheville et pied	n/a	n/a	n/a	n/a
M81.20	PMSI:DIAGNOSTIC-ICD10CHU|M81.20	Ostéoporose d'inactivité - Sièges multiples	n/a	n/a	n/a	n/a
M81.39	PMSI:DIAGNOSTIC-ICD10CHU|M81.39	Ostéoporose consécutive à une malabsorption post-chirurgicale - Siège non précisé	n/a	n/a	n/a	n/a
M81.41	PMSI:DIAGNOSTIC-ICD10CHU|M81.41	Ostéoporose médicamenteuse - Région scapulaire	n/a	n/a	n/a	n/a
M81.68	PMSI:DIAGNOSTIC-ICD10CHU|M81.68	Ostéoporose localisée (Lequesne) - Autres localisations	n/a	n/a	n/a	n/a
M81.88	PMSI:DIAGNOSTIC-ICD10CHU|M81.88	Autres ostéoporoses - Autres localisations	n/a	n/a	n/a	n/a
M81.93	PMSI:DIAGNOSTIC-ICD10CHU|M81.93	Ostéoporose, sans précision - Avant-bras	n/a	n/a	n/a	n/a
M81.96	PMSI:DIAGNOSTIC-ICD10CHU|M81.96	Ostéoporose, sans précision - Jambe	n/a	n/a	n/a	n/a
M81.99	PMSI:DIAGNOSTIC-ICD10CHU|M81.99	Ostéoporose, SP, siège NP	n/a	n/a	n/a	n/a
M8102/0	PMSI:DIAGNOSTIC-ICD10CHU|M8102/0	Trichilemmome (C44.-)	n/a	n/a	n/a	n/a
M8120/1	PMSI:DIAGNOSTIC-ICD10CHU|M8120/1	Urothelial papilloma, NOS	n/a	n/a	n/a	n/a
M8142/3	PMSI:DIAGNOSTIC-ICD10CHU|M8142/3	Linitis plastica	n/a	n/a	n/a	n/a
M8143/3	PMSI:DIAGNOSTIC-ICD10CHU|M8143/3	Superficial spreading adenocarcinoma	n/a	n/a	n/a	n/a
M8153/3	PMSI:DIAGNOSTIC-ICD10CHU|M8153/3	Gastrinome malin	n/a	n/a	n/a	n/a
M8171/3	PMSI:DIAGNOSTIC-ICD10CHU|M8171/3	Hepatocellular carcinoma, fibrolamellar	n/a	n/a	n/a	n/a
M82.15	PMSI:DIAGNOSTIC-ICD10CHU|M82.15	Ostéoporose au cours de maladies endocriniennes (E00-E34) - Région pelvienne et cuisse	n/a	n/a	n/a	n/a
M82.16	PMSI:DIAGNOSTIC-ICD10CHU|M82.16	Ostéoporose au cours de maladies endocriniennes (E00-E34) - Jambe	n/a	n/a	n/a	n/a
M82.81	PMSI:DIAGNOSTIC-ICD10CHU|M82.81	Ostéoporose au cours d'autres maladies classées ailleurs - Région scapulaire	n/a	n/a	n/a	n/a
M8204/0	PMSI:DIAGNOSTIC-ICD10CHU|M8204/0	Lactating adenoma	n/a	n/a	n/a	n/a
M8270/3	PMSI:DIAGNOSTIC-ICD10CHU|M8270/3	Chromophobe carcinoma	n/a	n/a	n/a	n/a
M83.28	PMSI:DIAGNOSTIC-ICD10CHU|M83.28	Ostéomalacie de l'adulte par malabsorption - Autres localisations	n/a	n/a	n/a	n/a
M83.29	PMSI:DIAGNOSTIC-ICD10CHU|M83.29	Ostéomalacie de l'adulte par malabsorption - Siège non précisé	n/a	n/a	n/a	n/a
M83.3	PMSI:DIAGNOSTIC-ICD10CHU|M83.3	Ostéomalacie de l'adulte due à une malnutrition	n/a	n/a	n/a	n/a
M83.55	PMSI:DIAGNOSTIC-ICD10CHU|M83.55	Autres ostéomalacies médicamenteuses de l'adulte - Région pelvienne et cuisse	n/a	n/a	n/a	n/a
M83.59	PMSI:DIAGNOSTIC-ICD10CHU|M83.59	Autres ostéomalacies médicamenteuses de l'adulte - Siège non précisé	n/a	n/a	n/a	n/a
M8310/0	PMSI:DIAGNOSTIC-ICD10CHU|M8310/0	Clear cell adenoma	n/a	n/a	n/a	n/a
M8332/3	PMSI:DIAGNOSTIC-ICD10CHU|M8332/3	Follicular adenocarcinoma, trabecular	n/a	n/a	n/a	n/a
M8390/3	PMSI:DIAGNOSTIC-ICD10CHU|M8390/3	Skin appendage carcinoma	n/a	n/a	n/a	n/a
M84.09	PMSI:DIAGNOSTIC-ICD10CHU|M84.09	Fracture mal consolidée - Siège non précisé	n/a	n/a	n/a	n/a
M84.15	PMSI:DIAGNOSTIC-ICD10CHU|M84.15	Fracture non consolidée (pseudarthrose) - Région pelvienne et cuisse	n/a	n/a	n/a	n/a
M84.30	PMSI:DIAGNOSTIC-ICD10CHU|M84.30	Fracture par sollicitation excessive, non classée ailleurs - Sièges multiples	n/a	n/a	n/a	n/a
M84.31	PMSI:DIAGNOSTIC-ICD10CHU|M84.31	Fracture par sollicitation excessive, non classée ailleurs - Région scapulaire	n/a	n/a	n/a	n/a
M84.35	PMSI:DIAGNOSTIC-ICD10CHU|M84.35	Fracture par sollicitation excessive, non classée ailleurs - Région pelvienne et cuisse	n/a	n/a	n/a	n/a
M84.80	PMSI:DIAGNOSTIC-ICD10CHU|M84.80	Autres anomalies de la continuité osseuse - Sièges multiples	n/a	n/a	n/a	n/a
M84.85	PMSI:DIAGNOSTIC-ICD10CHU|M84.85	Autres anomalies de la continuité osseuse - Région pelvienne et cuisse	n/a	n/a	n/a	n/a
M8453/2	PMSI:DIAGNOSTIC-ICD10CHU|M8453/2	Intraductal papillary-mucinous carcinoma, non-invasive	n/a	n/a	n/a	n/a
M8460/3	PMSI:DIAGNOSTIC-ICD10CHU|M8460/3	Papillary serous cystadenocarcinoma	n/a	n/a	n/a	n/a
M8462/1	PMSI:DIAGNOSTIC-ICD10CHU|M8462/1	Tumeur kystique séreuse papillaire à la limite de la malignité (C56.9)	n/a	n/a	n/a	n/a
M8470/2	PMSI:DIAGNOSTIC-ICD10CHU|M8470/2	Mucinous cystadenocarcinoma, non-invasive	n/a	n/a	n/a	n/a
M85.35	PMSI:DIAGNOSTIC-ICD10CHU|M85.35	Ostéite condensante - Région pelvienne et cuisse	n/a	n/a	n/a	n/a
C25.40	PMSI:DIAGNOSTIC-ICD10CHU|C25.40	n/a	n/a	n/a	n/a	n/a
C25.48	PMSI:DIAGNOSTIC-ICD10CHU|C25.48	n/a	n/a	n/a	n/a	n/a
C25.7	PMSI:DIAGNOSTIC-ICD10CHU|C25.7	Tumeur maligne : Autres parties du pancréas	n/a	n/a	n/a	n/a
C25.8	PMSI:DIAGNOSTIC-ICD10CHU|C25.8	Tumeur maligne : Pancréas, localisations contigües	n/a	n/a	n/a	n/a
C25.90	PMSI:DIAGNOSTIC-ICD10CHU|C25.90	n/a	n/a	n/a	n/a	n/a
C25.98	PMSI:DIAGNOSTIC-ICD10CHU|C25.98	n/a	n/a	n/a	n/a	n/a
C26.0	PMSI:DIAGNOSTIC-ICD10CHU|C26.0	Tumeur maligne : Tractus intestinal, partie non précisée	Q18553796	n/a	n/a	n/a
C26.8	PMSI:DIAGNOSTIC-ICD10CHU|C26.8	Tumeur maligne : Appareil digestif, localisations contigües	n/a	n/a	n/a	n/a
C31.0	PMSI:DIAGNOSTIC-ICD10CHU|C31.0	Tumeur maligne : Sinus maxillaire	Q17993333	n/a	n/a	n/a
C31.1	PMSI:DIAGNOSTIC-ICD10CHU|C31.1	Tumeur maligne : Sinus ethmoïdal	Q18554565	n/a	n/a	n/a
C31.3	PMSI:DIAGNOSTIC-ICD10CHU|C31.3	Tumeur maligne : Sinus sphénoïdal	Q18554790	n/a	n/a	n/a
C31.8	PMSI:DIAGNOSTIC-ICD10CHU|C31.8	Tumeur maligne : Sinus de la face, localisations contigües	n/a	n/a	n/a	n/a
C31.9	PMSI:DIAGNOSTIC-ICD10CHU|C31.9	Tumeur maligne : Sinus de la face, sans précision	n/a	n/a	n/a	n/a
C32.0	PMSI:DIAGNOSTIC-ICD10CHU|C32.0	Tumeur maligne : Glotte	Q18555125	n/a	n/a	n/a
C32.1	PMSI:DIAGNOSTIC-ICD10CHU|C32.1	Tumeur maligne : Etage sus-glottique	Q18554524	n/a	n/a	n/a
C32.2	PMSI:DIAGNOSTIC-ICD10CHU|C32.2	Tumeur maligne : Etage sous-glottique	Q18554089	n/a	n/a	n/a
C32.3	PMSI:DIAGNOSTIC-ICD10CHU|C32.3	Tumeur maligne : Cartilage laryngé	Q18554494	n/a	n/a	n/a
C32.9	PMSI:DIAGNOSTIC-ICD10CHU|C32.9	Tumeur maligne : Larynx, sans précision	Q852423	n/a	n/a	n/a
C34.0	PMSI:DIAGNOSTIC-ICD10CHU|C34.0	Tumeur maligne : Bronche souche	Q18556119	n/a	n/a	n/a
C34.2	PMSI:DIAGNOSTIC-ICD10CHU|C34.2	Tumeur maligne : Lobe moyen, bronches ou poumon	Q3640885	n/a	n/a	['CBC', 'KBP']
C34.3	PMSI:DIAGNOSTIC-ICD10CHU|C34.3	Tumeur maligne : Lobe inférieur, bronches ou poumon	Q3640885	n/a	n/a	['CBC', 'KBP']
C34.8	PMSI:DIAGNOSTIC-ICD10CHU|C34.8	Tumeur maligne : Bronches et poumon, localisations contigües	Q3640885	n/a	n/a	n/a
C34.9	PMSI:DIAGNOSTIC-ICD10CHU|C34.9	Tumeur maligne : Bronche ou poumon, sans précision	Q18554477	n/a	n/a	n/a
C38.0	PMSI:DIAGNOSTIC-ICD10CHU|C38.0	Tumeur maligne : Coeur	Q18554118	n/a	n/a	n/a
C38.4	PMSI:DIAGNOSTIC-ICD10CHU|C38.4	Tumeur maligne : Plèvre	Q18556654	n/a	n/a	n/a
C38.8	PMSI:DIAGNOSTIC-ICD10CHU|C38.8	Tumeur maligne : Coeur, Médiastin, Plèvre, localisations contigües	n/a	n/a	n/a	n/a
C39.0	PMSI:DIAGNOSTIC-ICD10CHU|C39.0	Tumeur maligne : Voies respiratoires supérieures, partie non précisée	n/a	n/a	n/a	n/a
C39.8	PMSI:DIAGNOSTIC-ICD10CHU|C39.8	Tumeur maligne : Organes respiratoires et intrathoraciques, localisations contigües	n/a	n/a	n/a	n/a
C39.9	PMSI:DIAGNOSTIC-ICD10CHU|C39.9	Tumeur maligne : Sièges mal définis de l'appareil respiratoire	n/a	n/a	n/a	n/a
C40.0	PMSI:DIAGNOSTIC-ICD10CHU|C40.0	Tumeur maligne : Omoplate et os longs du membre supérieur	n/a	n/a	n/a	n/a
C40.1	PMSI:DIAGNOSTIC-ICD10CHU|C40.1	Tumeur maligne : Os courts du membre supérieur	n/a	n/a	n/a	n/a
C40.2	PMSI:DIAGNOSTIC-ICD10CHU|C40.2	Tumeur maligne : Os longs du membre inférieur	Q18553792	n/a	n/a	n/a
C40.3	PMSI:DIAGNOSTIC-ICD10CHU|C40.3	Tumeur maligne : Os courts du membre inférieur	Q18553793	n/a	n/a	n/a
C40.8	PMSI:DIAGNOSTIC-ICD10CHU|C40.8	Tumeur maligne : Os et cartilage articulaire des membres, localisations contigües	n/a	n/a	n/a	n/a
C40.9	PMSI:DIAGNOSTIC-ICD10CHU|C40.9	Tumeur maligne : Os et cartilage articulaire d'un membre, sans précision	n/a	n/a	n/a	n/a
C41.0	PMSI:DIAGNOSTIC-ICD10CHU|C41.0	Tumeur maligne : Os du crâne et de la face	n/a	n/a	n/a	n/a
C41.1	PMSI:DIAGNOSTIC-ICD10CHU|C41.1	Tumeur maligne : Mandibule	Q18555054	n/a	n/a	n/a
C41.2	PMSI:DIAGNOSTIC-ICD10CHU|C41.2	Tumeur maligne : Rachis	n/a	n/a	n/a	n/a
