diseaseWikidata	prefLabel	wikidata	CUI	synonyms	weight
Q540571	anxiété	Q154430	['C0003467', 'C0679771', 'C1842981', 'C4020884']	"['anxiété', 'angoisse', 'anxiete', ""reaction d'anxiete"", 'anxieux', ""réaction d'anxiété"", 'réduction des dommages', 'minimisation des conséquences', 'réduction des méfaits', 'neuroticisme', 'traits de neuroticisme', 'névrosisme', 'névrotisme']"	0.25
Q3153686	anxiété	Q154430	['C0003467', 'C0679771', 'C1842981', 'C4020884']	"['anxiété', 'angoisse', 'anxiete', ""reaction d'anxiete"", 'anxieux', ""réaction d'anxiété"", 'réduction des dommages', 'minimisation des conséquences', 'réduction des méfaits', 'neuroticisme', 'traits de neuroticisme', 'névrosisme', 'névrotisme']"	0.25
Q155098	myocardite	Q186235	['C0027059']	['myocardite sai', 'myocardite', 'myocardite, non précisée']	0.143
Q201989	myocardite	Q186235	['C0027059']	['myocardite sai', 'myocardite', 'myocardite, non précisée']	0.143
Q649558	myocardite	Q186235	['C0027059']	['myocardite sai', 'myocardite', 'myocardite, non précisée']	0.143
Q706845	myocardite	Q186235	['C0027059']	['myocardite sai', 'myocardite', 'myocardite, non précisée']	0.143
Q980926	myocardite	Q186235	['C0027059']	['myocardite sai', 'myocardite', 'myocardite, non précisée']	0.143
Q1345113	myocardite	Q186235	['C0027059']	['myocardite sai', 'myocardite', 'myocardite, non précisée']	0.143
Q18371582	myocardite	Q186235	['C0027059']	['myocardite sai', 'myocardite', 'myocardite, non précisée']	0.143
Q134649	angine	Q186470	['C0040425', 'C0149517']	['angine', 'amygdalite sai', 'inflammation des amygdales', 'tonsillite', 'amygdalite', 'amygdalite chronique', 'angine chronique sai']	0.333
Q160653	angine	Q186470	['C0040425', 'C0149517']	['angine', 'amygdalite sai', 'inflammation des amygdales', 'tonsillite', 'amygdalite', 'amygdalite chronique', 'angine chronique sai']	0.333
Q2076966	angine	Q186470	['C0040425', 'C0149517']	['angine', 'amygdalite sai', 'inflammation des amygdales', 'tonsillite', 'amygdalite', 'amygdalite chronique', 'angine chronique sai']	0.333
Q160653	strabisme	Q179951	['C0029831', 'C0038379']	['autre strabisme précisé', 'hétérotropie, non précisée', 'strabisme sai', 'strabisme', 'phories', 'anomalie des mouvements conjugués des yeux', 'hétérotropie', 'anomalie des mouvements conjugués des yeux sai', 'anomalie non précisée des mouvements binoculaires', 'defaut convergence axes visuels']	0.5
Q28024539	strabisme	Q179951	['C0029831', 'C0038379']	['autre strabisme précisé', 'hétérotropie, non précisée', 'strabisme sai', 'strabisme', 'phories', 'anomalie des mouvements conjugués des yeux', 'hétérotropie', 'anomalie des mouvements conjugués des yeux sai', 'anomalie non précisée des mouvements binoculaires', 'defaut convergence axes visuels']	0.5
Q12156	coma	Q159557	['C0009421']	['comateux/euse', 'coma sai', 'coma']	0.25
Q326663	coma	Q159557	['C0009421']	['comateux/euse', 'coma sai', 'coma']	0.25
Q922927	coma	Q159557	['C0009421']	['comateux/euse', 'coma sai', 'coma']	0.25
Q5596834	coma	Q159557	['C0009421']	['comateux/euse', 'coma sai', 'coma']	0.25
Q207133	hypogonadisme	Q938107	['C0271623', 'C0948896', 'C0020619', 'C3489396']	['hypogonadisme hypogonadotrophique', 'hypogonadisme secondaire', 'hypogonadisme primaire', 'insuffisance gonadique primaire', 'hypogonadisme hypergonadotrophique', 'hypogonadisme']	0.5
Q1165179	hypogonadisme	Q938107	['C0271623', 'C0948896', 'C0020619', 'C3489396']	['hypogonadisme hypogonadotrophique', 'hypogonadisme secondaire', 'hypogonadisme primaire', 'insuffisance gonadique primaire', 'hypogonadisme hypergonadotrophique', 'hypogonadisme']	0.5
Q3508705	cardiopathie congénitale	Q939364	['C0018798', 'C0152021']	['anomalie cardiaque congénitale', 'malformation cardiaque', 'anomalie cardiaque', 'anomalies cardiaques congénitales', 'anomalie congénitale du coeur', 'malformations cardiaques', 'anomalie congénitale non précisée du coeur', 'cardiopathie congénitale', 'anomalie du coeur', 'anomalies congénitales du coeur', 'cardiopathies congénitales', 'malformation cardiaque sai', 'cardiopathie congénitale', 'maladie cardiaque congénitale sai', 'troubles cardiaques congénitaux', 'cardiopathie congénitale sai']	1.0
Q2600216	gastro-entérite	Q156103	['C0017160']	['gastroentérite', 'gastro-entérite', 'gastroentérite sai', 'gastro-enterite']	1.0
Q1432717	catalepsie	Q918193	n/a	n/a	1.0
Q55082435	ostéophyte	Q923339	n/a	n/a	1.0
Q1187697	hépatopathie	Q929737	['C0023895', 'C0086565', 'C0232744', 'C3279149']	['trouble hépatique sai', 'maladies du foie', 'maladie hépatocellulaire', 'hépatopathies', 'trouble hépatique', 'maladie hépatique', 'foetor hepaticus', 'pathologie hépatique', 'maladies hépatiques', 'maladie hépatique sai', 'maladie du foie sai', 'affection hépatique sai', 'trouble du foie', 'hépatopathie', 'affection hepatique', 'affection hépatique non précisée', 'anomalies fonctionnelles hépatiques', 'troubles de la fonction hépatique', 'anomalie fonctionnelle hépatique', 'fonction hépatique anormale', 'trouble de la fonction hépatique', 'anomalie des fonctions hepatiques', 'dysfonction hépatique sai', 'anomalies des fonctions hépatiques sai', 'fonction hépatique diminuée']	1.0
Q1035319	purpura	Q935293	['C0034150']	['purpura', 'purpura sai', 'péliose']	1.0
Q134649	insuffisance cardiaque	Q181754	n/a	n/a	0.333
Q706845	insuffisance cardiaque	Q181754	n/a	n/a	0.333
Q1364270	insuffisance cardiaque	Q181754	n/a	n/a	0.333
Q9390463	brachydactylie	Q896643	['C0221357']	['brachydactylie']	1.0
Q65067602	dystonie	Q906492	['C0013421', 'C0393593', 'C4020871']	['dystonies', 'dystonie', 'dystonie musculaire', 'dystonie', 'troubles dystoniques']	1.0
Q167264	stomatite	Q911386	['C0038362', 'C0149704', 'C1568868']	['mucite orale', 'stomatite', 'gingivostomatite', 'mucosite buccale', 'mucite buccale', 'inflammation de la muqueuse buccale']	0.333
Q408089	stomatite	Q911386	['C0038362', 'C0149704', 'C1568868']	['mucite orale', 'stomatite', 'gingivostomatite', 'mucosite buccale', 'mucite buccale', 'inflammation de la muqueuse buccale']	0.333
Q706845	stomatite	Q911386	['C0038362', 'C0149704', 'C1568868']	['mucite orale', 'stomatite', 'gingivostomatite', 'mucosite buccale', 'mucite buccale', 'inflammation de la muqueuse buccale']	0.333
Q131755	manie	Q185935	n/a	n/a	1.0
Q6853	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q12152	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q30953	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q48143	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q154869	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q156103	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q160653	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q164727	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q164818	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q219223	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q243257	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q326071	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q326648	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q326663	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q388646	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q558404	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q574905	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q615645	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q706845	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q797668	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q837054	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q911427	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q922927	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q1066061	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q1359898	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q1444550	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q1571398	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q2845432	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q3589128	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q4454701	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q5596834	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q6972442	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q12656487	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q18371582	nausée	Q186889	['C0027497']	['sensation de mal au coeur', 'mal au coeur', 'gueule de bois', 'nausée', 'nausees', 'nauséeux', 'nausee']	0.029
Q219223	flatulence	Q160184	['C0016204']	['flatuosité', 'ballonnement', 'météorisme', 'gaz', 'gaz abdominaux', 'flatulence', 'flatulences']	0.25
Q326071	flatulence	Q160184	['C0016204']	['flatuosité', 'ballonnement', 'météorisme', 'gaz', 'gaz abdominaux', 'flatulence', 'flatulences']	0.25
Q3008595	flatulence	Q160184	['C0016204']	['flatuosité', 'ballonnement', 'météorisme', 'gaz', 'gaz abdominaux', 'flatulence', 'flatulences']	0.25
Q3589128	flatulence	Q160184	['C0016204']	['flatuosité', 'ballonnement', 'météorisme', 'gaz', 'gaz abdominaux', 'flatulence', 'flatulences']	0.25
Q16333787	lymphœdème	Q916398	['C0024236']	['lymphoedèmes', 'lymphoedème', 'lymphoedeme', 'lymphoedème sai']	1.0
Q167264	hémorragie	Q166019	n/a	n/a	0.25
Q264118	hémorragie	Q166019	n/a	n/a	0.25
Q326638	hémorragie	Q166019	n/a	n/a	0.25
Q709360	hémorragie	Q166019	n/a	n/a	0.25
Q725345	métastase	Q181876	['C2939420']	['maladie métastatique']	1.0
Q12152	angine de poitrine	Q180762	['C0002962']	"['angor pectoris', ""syndrome d'angor"", 'sténocardie', 'gêne angineuse', 'syndrome angineux', 'angor', 'angine de poitrine', 'douleur angineuse', 'douleur thoracique ischémique', ""maladie d'heberden""]"	0.2
Q29496	angine de poitrine	Q180762	['C0002962']	"['angor pectoris', ""syndrome d'angor"", 'sténocardie', 'gêne angineuse', 'syndrome angineux', 'angor', 'angine de poitrine', 'douleur angineuse', 'douleur thoracique ischémique', ""maladie d'heberden""]"	0.2
Q190805	angine de poitrine	Q180762	['C0002962']	"['angor pectoris', ""syndrome d'angor"", 'sténocardie', 'gêne angineuse', 'syndrome angineux', 'angor', 'angine de poitrine', 'douleur angineuse', 'douleur thoracique ischémique', ""maladie d'heberden""]"	0.2
Q531019	angine de poitrine	Q180762	['C0002962']	"['angor pectoris', ""syndrome d'angor"", 'sténocardie', 'gêne angineuse', 'syndrome angineux', 'angor', 'angine de poitrine', 'douleur angineuse', 'douleur thoracique ischémique', ""maladie d'heberden""]"	0.2
Q1444550	angine de poitrine	Q180762	['C0002962']	"['angor pectoris', ""syndrome d'angor"", 'sténocardie', 'gêne angineuse', 'syndrome angineux', 'angor', 'angine de poitrine', 'douleur angineuse', 'douleur thoracique ischémique', ""maladie d'heberden""]"	0.2
Q9081107	insuffisance hépato-cellulaire	Q970208	['C0085605']	['insuffisance hepatique', 'défaillance hépatique', 'insuffisance hépatique']	1.0
Q1187697	hyperleucocytose	Q974869	['C0023518']	['hyperleucocytose', 'leucocytose sai', 'leucocytose']	1.0
Q134649	neuropathie périphérique	Q945238	['C0031117', 'C0442874', 'C1335029']	['neuropathie', 'neuropathie sai']	0.2
Q615645	neuropathie périphérique	Q945238	['C0031117', 'C0442874', 'C1335029']	['neuropathie', 'neuropathie sai']	0.2
Q1198391	neuropathie périphérique	Q945238	['C0031117', 'C0442874', 'C1335029']	['neuropathie', 'neuropathie sai']	0.2
Q2076966	neuropathie périphérique	Q945238	['C0031117', 'C0442874', 'C1335029']	['neuropathie', 'neuropathie sai']	0.2
Q28024539	neuropathie périphérique	Q945238	['C0031117', 'C0442874', 'C1335029']	['neuropathie', 'neuropathie sai']	0.2
Q208562	Pectus carinatum	Q164218	['C0158731']	['pectus carinatum', 'thorax de pigeon', 'thorax en bréchet', 'thorax en carène']	1.0
Q1165179	ostéoporose	Q165328	['C0029456', 'C0029458']	['osteoporose', 'ostéoporose sai', 'ostéoporose', 'ostéoporose, non précisée', 'ostéoporose de la postménopause', 'ostéoporose de la post-ménopause', 'ostéoporose postménopausique', 'ostéoporose post-ménopausique']	0.5
Q3234995	ostéoporose	Q165328	['C0029456', 'C0029458']	['osteoporose', 'ostéoporose sai', 'ostéoporose', 'ostéoporose, non précisée', 'ostéoporose de la postménopause', 'ostéoporose de la post-ménopause', 'ostéoporose postménopausique', 'ostéoporose post-ménopausique']	0.5
Q133780	syndrome confusionnel	Q160796	n/a	n/a	0.5
Q5419654	syndrome confusionnel	Q160796	n/a	n/a	0.5
Q114085	éternuement	Q35830	n/a	n/a	0.333
Q18554367	éternuement	Q35830	n/a	n/a	0.333
Q160653	sepsis	Q183134	['C0036690']	['septicémie', 'septicémie sai', 'septicémie non précisée', 'septicemie']	0.333
Q683861	sepsis	Q183134	['C0036690']	['septicémie', 'septicémie sai', 'septicémie non précisée', 'septicemie']	0.333
Q2600216	sepsis	Q183134	['C0036690']	['septicémie', 'septicémie sai', 'septicémie non précisée', 'septicemie']	0.333
Q28024539	Coxa valga	Q955454	['C0239137', 'C3549698']	['coxa valgus', 'coxa valga']	1.0
Q12090	oligurie	Q961326	['C0028961']	"[""insuffisance du volume d'urine"", 'faiblesse production urinaire', 'oligurie']"	0.25
Q154874	oligurie	Q961326	['C0028961']	"[""insuffisance du volume d'urine"", 'faiblesse production urinaire', 'oligurie']"	0.25
Q401402	oligurie	Q961326	['C0028961']	"[""insuffisance du volume d'urine"", 'faiblesse production urinaire', 'oligurie']"	0.25
Q574975	oligurie	Q961326	['C0028961']	"[""insuffisance du volume d'urine"", 'faiblesse production urinaire', 'oligurie']"	0.25
Q540571	douleur chronique	Q1088113	['C0150055']	['douleur chronique']	0.333
Q1415275	douleur chronique	Q1088113	['C0150055']	['douleur chronique']	0.333
Q18554460	douleur chronique	Q1088113	['C0150055']	['douleur chronique']	0.333
Q3298999	microcytose	Q1091552	['C0221265']	['microcytose']	1.0
Q210427	équinisme	Q1097541	n/a	n/a	1.0
Q378681	claudication intermittente	Q1097957	['C0021775']	['claudication intermittente', 'myasthénie angioscléreuse', 'arthropathie de charcot']	0.5
Q4797546	claudication intermittente	Q1097957	['C0021775']	['claudication intermittente', 'myasthénie angioscléreuse', 'arthropathie de charcot']	0.5
Q12252367	athérome	Q1058276	['C0264956']	"['plaques athéromateuses', 'athérome', ""plaques d'athérome""]"	1.0
Q2106232	frisson	Q1060890	n/a	n/a	1.0
Q5514398	Cholestase	Q1075923	['C0008370']	['obstruction des voies biliaires sai', 'obstruction des voies biliaires', 'occlusion des voies biliaires', 'stase biliaire', 'rétention biliaire', 'obstruction de la voi biliaire', 'cholestase', 'obstruction biliaire', 'cholostase']	1.0
Q133780	hyperémie	Q948806	n/a	n/a	0.25
Q154874	hyperémie	Q948806	n/a	n/a	0.25
Q167264	hyperémie	Q948806	n/a	n/a	0.25
Q706845	hyperémie	Q948806	n/a	n/a	0.25
Q5160418	infection	Q166231	n/a	n/a	1.0
Q574975	hyperthermie	Q242165	n/a	n/a	0.5
Q1585081	hyperthermie	Q242165	n/a	n/a	0.5
Q190564	chorée	Q1076421	['C1859098', 'C0393584', 'C0008489']	['chorée héréditaire bénigne', 'chorée familiale bénigne', 'chorée héréditaire progressive sans démence', 'choree', 'chorée sai', 'troubles choréiques', 'syndromes choréiques', 'mouvement choréiforme', 'mouvement choréique', 'chorée', 'mouvements choréiformes']	1.0
Q326663	somnolence	Q1077823	['C0013144']	['ensommeillé(e)', 'assoupissement', 'endormissement', 'envie de dormir', 'envie excessive de dormir']	0.333
Q3144201	somnolence	Q1077823	['C0013144']	['ensommeillé(e)', 'assoupissement', 'endormissement', 'envie de dormir', 'envie excessive de dormir']	0.333
Q53926008	somnolence	Q1077823	['C0013144']	['ensommeillé(e)', 'assoupissement', 'endormissement', 'envie de dormir', 'envie excessive de dormir']	0.333
Q79793	conjonctivite	Q167844	['C1864156', 'C0009763']	['conjonctivite sai', 'conjonctivite', 'conjonctivite, non précisée']	0.1
Q160653	conjonctivite	Q167844	['C1864156', 'C0009763']	['conjonctivite sai', 'conjonctivite', 'conjonctivite, non précisée']	0.1
Q164727	conjonctivite	Q167844	['C1864156', 'C0009763']	['conjonctivite sai', 'conjonctivite', 'conjonctivite, non précisée']	0.1
Q167264	conjonctivite	Q167844	['C1864156', 'C0009763']	['conjonctivite sai', 'conjonctivite', 'conjonctivite, non précisée']	0.1
Q243257	conjonctivite	Q167844	['C1864156', 'C0009763']	['conjonctivite sai', 'conjonctivite', 'conjonctivite, non précisée']	0.1
Q706845	conjonctivite	Q167844	['C1864156', 'C0009763']	['conjonctivite sai', 'conjonctivite', 'conjonctivite, non précisée']	0.1
Q837054	conjonctivite	Q167844	['C1864156', 'C0009763']	['conjonctivite sai', 'conjonctivite', 'conjonctivite, non précisée']	0.1
Q124407	polyurie	Q1124286	['C0032617']	"['diurese excessive', 'volume urinaire augmenté', ""augmentation du volume d'urine"", 'diurèse excessive', 'polyurie']"	0.333
Q3025883	polyurie	Q1124286	['C0032617']	"['diurese excessive', 'volume urinaire augmenté', ""augmentation du volume d'urine"", 'diurèse excessive', 'polyurie']"	0.333
Q15974799	polyurie	Q1124286	['C0032617']	"['diurese excessive', 'volume urinaire augmenté', ""augmentation du volume d'urine"", 'diurèse excessive', 'polyurie']"	0.333
Q1515119	agnosie digitale	Q1114480	n/a	n/a	1.0
Q79793	rhinorrhée	Q1115038	n/a	n/a	0.143
Q4097126	cellulite	Q242510	n/a	n/a	1.0
Q622901	confabulation	Q1082351	['C0233800']	['confabulation']	1.0
Q1472	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q8282	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q12214	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q121041	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q131742	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q137597	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q154869	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q156103	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q164818	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q167264	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q180664	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q212961	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q219223	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q221668	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q272002	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q326071	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q326648	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q327298	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q428447	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q495146	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q574905	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q603644	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q623031	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q683861	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q706845	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q911427	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q949694	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q1035319	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q1066061	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q1148337	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q1345113	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
Q1981276	douleur abdominale	Q183425	['C0000737']	"['douleur abdo', ""douleur de l'abdomen"", 'douleur abdominale', 'douleur abd.', 'douleur abdominale sai', 'douleur abdo.', 'douleur intestinale']"	0.023
