CIS	CISLabel	IN	INlabel	drugUri
CIS69847396	FOSINOPRIL CRISTERS 10 mg, comprimé sécable	http://www.romedi.fr/romedi/IN32ife75if2lse10rj9ou32d4eag51idr	FOSINOPRIL	Q425293
CIS61001031	CERNEVIT, poudre pour solution injectable ou pour perfusion	http://www.romedi.fr/romedi/INpj6r9ceikvu2u1h4ejkb6v4vhq45as3n	ALPHA-TOCOPHÉROL	Q158348
CIS64228123	CIRKAN A LA PREDNACINOLONE, suppositoire	http://www.romedi.fr/romedi/INpj6r9ceikvu2u1h4ejkb6v4vhq45as3n	ALPHA-TOCOPHÉROL	Q158348
CIS68202115	UVESTEROL VITAMINE A.D.E.C., solution buvable	http://www.romedi.fr/romedi/INpj6r9ceikvu2u1h4ejkb6v4vhq45as3n	ALPHA-TOCOPHÉROL	Q158348
CIS66705623	HYDROSOL POLYVITAMINE PHARMADEVELOPPEMENT, solution buvable en gouttes	http://www.romedi.fr/romedi/INpj6r9ceikvu2u1h4ejkb6v4vhq45as3n	ALPHA-TOCOPHÉROL	Q158348
CIS64162292	LOXAPAC 25 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INhgtr5lvg3c8r95vd0nkvobv1g7ta78lc	LOXAPINE	Q58614
CIS66002781	LOXAPAC 50 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INhgtr5lvg3c8r95vd0nkvobv1g7ta78lc	LOXAPINE	Q58614
CIS69700033	LOXAPAC, solution buvable	http://www.romedi.fr/romedi/INhgtr5lvg3c8r95vd0nkvobv1g7ta78lc	LOXAPINE	Q58614
CIS69485940	LOXAPAC 50 mg/2 ml, solution injectable en ampoule (IM)	http://www.romedi.fr/romedi/INhgtr5lvg3c8r95vd0nkvobv1g7ta78lc	LOXAPINE	Q58614
CIS69893582	LOXAPAC 100 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INhgtr5lvg3c8r95vd0nkvobv1g7ta78lc	LOXAPINE	Q58614
CIS61426025	ANAFRANIL 75 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/IN3vuvgkv8773gqvu2a3753lfr24fgnt89	CLOMIPRAMINE	Q58713
CIS63066063	CLOMIPRAMINE MYLAN 75 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/IN3vuvgkv8773gqvu2a3753lfr24fgnt89	CLOMIPRAMINE	Q58713
CIS60528874	CLOMIPRAMINE SANDOZ 75 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/IN3vuvgkv8773gqvu2a3753lfr24fgnt89	CLOMIPRAMINE	Q58713
CIS60887980	CLOMIPRAMINE SANDOZ 10 mg, comprimé pelliculé	http://www.romedi.fr/romedi/IN3vuvgkv8773gqvu2a3753lfr24fgnt89	CLOMIPRAMINE	Q58713
CIS61649829	CLOMIPRAMINE SANDOZ 25 mg, comprimé pelliculé	http://www.romedi.fr/romedi/IN3vuvgkv8773gqvu2a3753lfr24fgnt89	CLOMIPRAMINE	Q58713
CIS69273510	ANAFRANIL 10 mg, comprimé enrobé	http://www.romedi.fr/romedi/IN3vuvgkv8773gqvu2a3753lfr24fgnt89	CLOMIPRAMINE	Q58713
CIS69281119	ANAFRANIL 25 mg/2 ml, solution injectable	http://www.romedi.fr/romedi/IN3vuvgkv8773gqvu2a3753lfr24fgnt89	CLOMIPRAMINE	Q58713
CIS69235342	ANAFRANIL 25 mg, comprimé enrobé	http://www.romedi.fr/romedi/IN3vuvgkv8773gqvu2a3753lfr24fgnt89	CLOMIPRAMINE	Q58713
CIS68990612	CLOMIPRAMINE (CHLORHYDRATE) MYLAN 10 mg, comprimé pelliculé	http://www.romedi.fr/romedi/IN3vuvgkv8773gqvu2a3753lfr24fgnt89	CLOMIPRAMINE	Q58713
CIS68837972	CLOMIPRAMINE (CHLORHYDRATE) MYLAN 25 mg, comprimé pelliculé	http://www.romedi.fr/romedi/IN3vuvgkv8773gqvu2a3753lfr24fgnt89	CLOMIPRAMINE	Q58713
CIS60774655	NABUCOX 1 g, comprimé dispersible	http://www.romedi.fr/romedi/INbm5o8n4d8k4as1k0lrtmdkna20l6fjhp	NABUMÉTONE	Q425207
CIS64224915	NABUCOX 500 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INbm5o8n4d8k4as1k0lrtmdkna20l6fjhp	NABUMÉTONE	Q425207
CIS64005832	ATRIPLA 600 mg/200 mg/245 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INkc5gvqnu26gccl69bqua39d4s0tt75n9	TÉNOFOVIR	Q155954
CIS65453475	GENVOYA 150 mg/150 mg/200 mg/10 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INkc5gvqnu26gccl69bqua39d4s0tt75n9	TÉNOFOVIR	Q155954
CIS65768058	STRIBILD 150 mg/150 mg/200 mg/245 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INkc5gvqnu26gccl69bqua39d4s0tt75n9	TÉNOFOVIR	Q155954
CIS62844771	BIKTARVY 50 mg/200 mg/25 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INkc5gvqnu26gccl69bqua39d4s0tt75n9	TÉNOFOVIR	Q155954
CIS62474215	EFAVIRENZ/EMTRICITABINE/TENOFOVIR DISOPROXIL MYLAN 600 mg/200 mg/245 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INkc5gvqnu26gccl69bqua39d4s0tt75n9	TÉNOFOVIR	Q155954
CIS69244131	EFAVIRENZ/EMTRICITABINE/TENOFOVIR DISOPROXIL TEVA 600 mg/200 mg/245 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INkc5gvqnu26gccl69bqua39d4s0tt75n9	TÉNOFOVIR	Q155954
CIS60958897	SEROPLEX 5 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS65503782	SEROPLEX 20 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS60474889	SEROPLEX 15 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS62111790	SEROPLEX 20 mg/ml, solution buvable en gouttes	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS61081853	ESCITALOPRAM MYLAN GENERIQUES 20 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS61025324	ESCITALOPRAM BIPHAR 10 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS61226754	ESCITALOPRAM TEVA 20 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS61285133	ESCITALOPRAM ZENTIVA LAB 20 mg/ml, solution buvable en gouttes	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS60197011	ESCITALOPRAM ALMUS 15 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS61385475	ESCITALOPRAM ALMUS 20 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS61785131	ESCITALOPRAM ARROW 10 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS62620809	ESCITALOPRAM ARROW 15 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS62308720	ESCITALOPRAM CRISTERS 10 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS62567712	ESCITALOPRAM TEVA 15 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS63874803	ESCITALOPRAM SANDOZ 15 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS64174800	ESCITALOPRAM EVOLUGEN 15 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS63864766	ESCITALOPRAM BIOGARAN 15 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS63112596	ESCITALOPRAM BIPHAR 15 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS64780520	ESCITALOPRAM EG 20 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS65043177	ESCITALOPRAM TEVA 10 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS61214570	ESCITALOPRAM RANBAXY 5 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS62527664	ESCITALOPRAM ALMUS 5 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS66409371	ESCITALOPRAM SANDOZ 20 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS65502004	ESCITALOPRAM BIOGARAN 20 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS66035913	ESCITALOPRAM MYLAN GENERIQUES 15 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS66157988	ESCITALOPRAM EG 10 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS66170487	ESCITALOPRAM KRKA 10 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS65642223	ESCITALOPRAM RANBAXY 15 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS66292690	ESCITALOPRAM ZENTIVA LAB 15 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS65988086	ESCITALOPRAM ALMUS 10 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS60139563	ESCITALOPRAM ZENTIVA 5 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS65102444	SEROPLEX 10 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS66257579	SEROPLEX 10 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS64344697	ESCITALOPRAM ZENTIVA 10 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS63307653	ESCITALOPRAM MYLAN 15 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS67219535	SEROPLEX 10 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS68770687	ESCITALOPRAM BIOGARAN 10 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS67720286	ESCITALOPRAM EVOLUGEN 10 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS69307585	ESCITALOPRAM SANDOZ 10 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS66920120	ESCITALOPRAM ARROW 20 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS66902841	ESCITALOPRAM EG 15 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS67600995	ESCITALOPRAM ZENTIVA LAB 20 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS67576423	ESCITALOPRAM ZENTIVA 15 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS68311602	SEROPLEX 10 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS68429942	ESCITALOPRAM EG 5 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS68396830	ESCITALOPRAM KRKA 15 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS68017682	ESCITALOPRAM ZENTIVA LAB 10 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS68176955	ESCITALOPRAM ZENTIVA LAB 5 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS69633093	ESCITALOPRAM ARROW 5 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS69911774	ESCITALOPRAM CRISTERS 15 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS69414103	ESCITALOPRAM TEVA 5 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INrth34o4uohkjffrahl2pepb44lkgp5ui	ESCITALOPRAM	Q409672
CIS61500746	ESPERAL 500 mg, comprimé	http://www.romedi.fr/romedi/INk311n705ekpm1ojvdviolnct8n3cpg4i	DISULFIRAME	Q409665
CIS63100455	BACICOLINE A LA BACITRACINE, poudre et solvant pour collyre en solution	http://www.romedi.fr/romedi/IN4912sfnd9jcjtjq7fha3l1dponsgivj1	BACITRACINE	Q424319
CIS68079933	MINIPRESS 1 mg, comprimé sécable	http://www.romedi.fr/romedi/INa71j5a3eo1kvhvrq0a4o0no7f3788oog	PRAZOSINE	Q425296
CIS69253041	MINIPRESS 5 mg, comprimé sécable	http://www.romedi.fr/romedi/INa71j5a3eo1kvhvrq0a4o0no7f3788oog	PRAZOSINE	Q425296
CIS68403965	ALPRESS L.P. 5 mg, comprimé osmotique à libération prolongée	http://www.romedi.fr/romedi/INa71j5a3eo1kvhvrq0a4o0no7f3788oog	PRAZOSINE	Q425296
CIS69537839	ALPRESS L.P. 2,5 mg, comprimé osmotique à libération prolongée	http://www.romedi.fr/romedi/INa71j5a3eo1kvhvrq0a4o0no7f3788oog	PRAZOSINE	Q425296
CIS60728597	GILENYA 0,5 mg, gélule	http://www.romedi.fr/romedi/INdti23lk1ktef3ln0kqnjdpsoc7us8kki	FINGOLIMOD	Q425137
CIS60801458	IMIPENEM/CILASTATINE KABI 250 mg/250 mg, poudre pour solution pour perfusion	http://www.romedi.fr/romedi/INvf72aa5hkst6fhqs5f70aanr8eb9f5mo	IMIPÉNEM	Q425152
CIS62866789	IMIPENEM/CILASTATINE ARROW 500 mg/500 mg, poudre pour solution pour perfusion	http://www.romedi.fr/romedi/INvf72aa5hkst6fhqs5f70aanr8eb9f5mo	IMIPÉNEM	Q425152
CIS65336568	IMIPENEM CILASTATINE PANPHARMA 500 mg/500 mg, poudre pour solution pour perfusion	http://www.romedi.fr/romedi/INvf72aa5hkst6fhqs5f70aanr8eb9f5mo	IMIPÉNEM	Q425152
CIS69552232	TIENAM 500 mg/500 mg, poudre pour solution pour perfusion	http://www.romedi.fr/romedi/INvf72aa5hkst6fhqs5f70aanr8eb9f5mo	IMIPÉNEM	Q425152
CIS69426034	IMIPENEM CILASTATINE MYLAN 500 mg/500 mg, poudre pour solution pour perfusion	http://www.romedi.fr/romedi/INvf72aa5hkst6fhqs5f70aanr8eb9f5mo	IMIPÉNEM	Q425152
CIS67627992	LIBRAX, comprimé enrobé	http://www.romedi.fr/romedi/INk2bhekeljtlt7r4n3jj7hatl67q0o1mn	CHLORDIAZÉPOXIDE	Q178566
CIS69582503	ROACTEMRA 20 mg/ml, solution à diluer pour perfusion	http://www.romedi.fr/romedi/IN0h4h01kjifjqjd3ltfhfls2cu8mjhvhc	TOCILIZUMAB	Q425154
CIS67121308	ROACTEMRA 162 mg, solution injectable en stylo prérempli	http://www.romedi.fr/romedi/IN0h4h01kjifjqjd3ltfhfls2cu8mjhvhc	TOCILIZUMAB	Q425154
CIS69107620	ROACTEMRA 162 mg, solution injectable en seringue préremplie	http://www.romedi.fr/romedi/IN0h4h01kjifjqjd3ltfhfls2cu8mjhvhc	TOCILIZUMAB	Q425154
CIS62305927	CORDARONE 150 mg/3 ml, solution injectable en ampoule (IV)	http://www.romedi.fr/romedi/INv1r71g70mdq8cs32t12405vuh80itkep	AMIODARONE	Q410061
CIS64408662	CORDARONE 200 mg, comprimé sécable	http://www.romedi.fr/romedi/INv1r71g70mdq8cs32t12405vuh80itkep	AMIODARONE	Q410061
CIS60441622	AMIODARONE MYLAN 200 mg, comprimé sécable	http://www.romedi.fr/romedi/INv1r71g70mdq8cs32t12405vuh80itkep	AMIODARONE	Q410061
CIS64820751	AMIODARONE EG 200 mg, comprimé sécable	http://www.romedi.fr/romedi/INv1r71g70mdq8cs32t12405vuh80itkep	AMIODARONE	Q410061
CIS60514006	AMIODARONE ARROW 200 mg, comprimé sécable	http://www.romedi.fr/romedi/INv1r71g70mdq8cs32t12405vuh80itkep	AMIODARONE	Q410061
CIS60932824	AMIODARONE TEVA 200 mg, comprimé sécable	http://www.romedi.fr/romedi/INv1r71g70mdq8cs32t12405vuh80itkep	AMIODARONE	Q410061
CIS62603432	AMIODARONE SANDOZ 200 mg, comprimé sécable	http://www.romedi.fr/romedi/INv1r71g70mdq8cs32t12405vuh80itkep	AMIODARONE	Q410061
CIS62703614	AMIODARONE ZENTIVA 200 mg, comprimé sécable	http://www.romedi.fr/romedi/INv1r71g70mdq8cs32t12405vuh80itkep	AMIODARONE	Q410061
CIS65089349	AMIODARONE ALTER 200 mg, comprimé sécable	http://www.romedi.fr/romedi/INv1r71g70mdq8cs32t12405vuh80itkep	AMIODARONE	Q410061
CIS63897346	AMIODARONE AGUETTANT 50 mg/ml, solution injectable (I.V.)	http://www.romedi.fr/romedi/INv1r71g70mdq8cs32t12405vuh80itkep	AMIODARONE	Q410061
CIS60662396	CORDARONE 200 mg, comprimé sécable	http://www.romedi.fr/romedi/INv1r71g70mdq8cs32t12405vuh80itkep	AMIODARONE	Q410061
CIS67745624	AMIODARONE BIOGARAN 200 mg, comprimé sécable	http://www.romedi.fr/romedi/INv1r71g70mdq8cs32t12405vuh80itkep	AMIODARONE	Q410061
CIS69364999	AMIODARONE ALMUS 200 mg, comprimé sécable	http://www.romedi.fr/romedi/INv1r71g70mdq8cs32t12405vuh80itkep	AMIODARONE	Q410061
CIS69078001	AMIODARONE ACTAVIS 200 mg, comprimé sécable	http://www.romedi.fr/romedi/INv1r71g70mdq8cs32t12405vuh80itkep	AMIODARONE	Q410061
CIS68973926	CORDARONE 200 mg, comprimé sécable	http://www.romedi.fr/romedi/INv1r71g70mdq8cs32t12405vuh80itkep	AMIODARONE	Q410061
CIS65461618	NUTRINEAL PD4 A 1,1 POUR CENT D'ACIDES AMINES, solution pour dialyse péritonéale	http://www.romedi.fr/romedi/IN6vov0n068pomjegmco9l6t9dg9g2d5ra	ACIDE LACTIQUE	Q161249
CIS63935487	IMUREL 50 mg, poudre pour solution injectable (IV)	http://www.romedi.fr/romedi/INgqiu8vepmro62a1i2kb29ftc02h0g42s	AZATHIOPRINE	Q18939
CIS63479140	AZATHIOPRINE MYLAN 50 mg, comprimé pelliculé sécable	http://www.romedi.fr/romedi/INgqiu8vepmro62a1i2kb29ftc02h0g42s	AZATHIOPRINE	Q18939
CIS64204250	IMUREL 50 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INgqiu8vepmro62a1i2kb29ftc02h0g42s	AZATHIOPRINE	Q18939
CIS64841852	IMUREL 25 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INgqiu8vepmro62a1i2kb29ftc02h0g42s	AZATHIOPRINE	Q18939
CIS60211183	AZATHIOPRINE TEVA 50 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INgqiu8vepmro62a1i2kb29ftc02h0g42s	AZATHIOPRINE	Q18939
CIS62824288	AZATHIOPRINE EG 50 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INgqiu8vepmro62a1i2kb29ftc02h0g42s	AZATHIOPRINE	Q18939
CIS69443208	IMUREL 50mg, comprimé pelliculé	http://www.romedi.fr/romedi/INgqiu8vepmro62a1i2kb29ftc02h0g42s	AZATHIOPRINE	Q18939
CIS61572165	SERETIDE DISKUS 250 microgrammes/50 microgrammes/dose, poudre pour inhalation en récipient unidose	http://www.romedi.fr/romedi/INt72ktdm3g012qqml3oosmpkvhj9qj3ua	SALMÉTÉROL	Q424333
CIS60569419	SERETIDE DISKUS 500 microgrammes/50 microgrammes/dose, poudre pour inhalation en récipient unidose	http://www.romedi.fr/romedi/INt72ktdm3g012qqml3oosmpkvhj9qj3ua	SALMÉTÉROL	Q424333
CIS61073237	SERETIDE 250 microgrammes/25 microgrammes/dose, suspension pour inhalation en flacon pressurisé	http://www.romedi.fr/romedi/INt72ktdm3g012qqml3oosmpkvhj9qj3ua	SALMÉTÉROL	Q424333
CIS64587838	SERETIDE 50 microgrammes/25 microgrammes/dose, suspension pour inhalation en flacon pressurisé	http://www.romedi.fr/romedi/INt72ktdm3g012qqml3oosmpkvhj9qj3ua	SALMÉTÉROL	Q424333
CIS67546191	SERETIDE DISKUS 100 microgrammes/50 microgrammes/dose, poudre pour inhalation en récipient unidose	http://www.romedi.fr/romedi/INt72ktdm3g012qqml3oosmpkvhj9qj3ua	SALMÉTÉROL	Q424333
CIS69505268	SERETIDE 125 microgrammes/25 microgrammes/dose, suspension pour inhalation en flacon pressurisé	http://www.romedi.fr/romedi/INt72ktdm3g012qqml3oosmpkvhj9qj3ua	SALMÉTÉROL	Q424333
CIS62600742	BRICANYL 0,5 mg/1 ml, solution injectable en ampoule	http://www.romedi.fr/romedi/INbvi94s9hbjhpao1jab2nf4gl9ngj836c	TERBUTALINE	Q424340
CIS65708972	BRICANYL L.P. 5 mg, comprimé à libération prolongée	http://www.romedi.fr/romedi/INbvi94s9hbjhpao1jab2nf4gl9ngj836c	TERBUTALINE	Q424340
CIS60961427	BRICANYL TURBUHALER 500 microgrammes/dose, poudre pour inhalation	http://www.romedi.fr/romedi/INbvi94s9hbjhpao1jab2nf4gl9ngj836c	TERBUTALINE	Q424340
CIS65683309	TERBUTALINE ARROW 5 mg/2 ml, solution pour inhalation par nébuliseur en récipient unidose	http://www.romedi.fr/romedi/INbvi94s9hbjhpao1jab2nf4gl9ngj836c	TERBUTALINE	Q424340
CIS60277824	TERBUTALINE SANDOZ 5 mg/2 ml, solution pour inhalation par nébuliseur en récipient unidose	http://www.romedi.fr/romedi/INbvi94s9hbjhpao1jab2nf4gl9ngj836c	TERBUTALINE	Q424340
CIS63274566	TERBUTALINE MYLAN 5 mg/2 ml, solution pour inhalation par nébuliseur en récipient unidose	http://www.romedi.fr/romedi/INbvi94s9hbjhpao1jab2nf4gl9ngj836c	TERBUTALINE	Q424340
CIS65523475	TERBUTALINE BIOGARAN 5 mg/2 ml, solution pour inhalation par nébuliseur en récipient unidose	http://www.romedi.fr/romedi/INbvi94s9hbjhpao1jab2nf4gl9ngj836c	TERBUTALINE	Q424340
CIS68242177	BRICANYL 5 mg/2 ml, solution pour inhalation par nébuliseur en récipient unidose	http://www.romedi.fr/romedi/INbvi94s9hbjhpao1jab2nf4gl9ngj836c	TERBUTALINE	Q424340
CIS62419261	IZILOX 400 mg/250 ml, solution pour perfusion	http://www.romedi.fr/romedi/INitnanjelahe61e33v3dus2jiv6fh09k1	MOXIFLOXACINE	Q424940
CIS66477066	MOXIFLOXACINE KRKA 400 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INitnanjelahe61e33v3dus2jiv6fh09k1	MOXIFLOXACINE	Q424940
CIS65521531	MOXIFLOXACINE ARROW 400 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INitnanjelahe61e33v3dus2jiv6fh09k1	MOXIFLOXACINE	Q424940
CIS69531658	IZILOX 400 mg, comprimé pelliculé	http://www.romedi.fr/romedi/INitnanjelahe61e33v3dus2jiv6fh09k1	MOXIFLOXACINE	Q424940
CIS64669331	VIAGRA 100 mg, comprimé pelliculé	http://www.romedi.fr/romedi/IN9oq6qc2mqulk68rfps4k3ro02ea8r39h	SILDÉNAFIL	Q191521
CIS63593884	VIAGRA 50 mg, comprimé pelliculé	http://www.romedi.fr/romedi/IN9oq6qc2mqulk68rfps4k3ro02ea8r39h	SILDÉNAFIL	Q191521
CIS61262686	SILDENAFIL MYLAN 100 mg, comprimé pelliculé	http://www.romedi.fr/romedi/IN9oq6qc2mqulk68rfps4k3ro02ea8r39h	SILDÉNAFIL	Q191521
CIS60286346	SILDENAFIL EG 50 mg, comprimé pelliculé	http://www.romedi.fr/romedi/IN9oq6qc2mqulk68rfps4k3ro02ea8r39h	SILDÉNAFIL	Q191521
CIS61718111	REVATIO 10 mg/ml, poudre pour suspension buvable	http://www.romedi.fr/romedi/IN9oq6qc2mqulk68rfps4k3ro02ea8r39h	SILDÉNAFIL	Q191521
CIS63719468	SILDENAFIL ACTAVIS 50 mg, comprimé	http://www.romedi.fr/romedi/IN9oq6qc2mqulk68rfps4k3ro02ea8r39h	SILDÉNAFIL	Q191521
CIS66152667	SILDENAFIL ACCORD 100 mg, comprimé pelliculé	http://www.romedi.fr/romedi/IN9oq6qc2mqulk68rfps4k3ro02ea8r39h	SILDÉNAFIL	Q191521
